ID,转发数,评论数,发表时间,性别,粉丝数,状态数,正文
100012,1,2,20150213 15:50:01,f,2230,23756,三號線四號線，久違了！😉 #忘帶月票了😭# #上海火车站-地铁站#（通过@nice 创作，下载链接：http://t.cn/RwqndUb）
100013,2,1,20150101 21:32:21,m,40704,9344,上海踩踏事故遇难人数35人，35,一个神奇的数字。动车相撞35人死亡,河南平顶山矿难35人死亡;重庆暴雨造成35人，云南遭大雨袭击全省35人死亡。为什么死亡人数总在36人以内？？？？？[吃惊]
100013,2,1,20150101 21:32:21,m,40703,9344,上海踩踏事故遇难人数35人，35,一个神奇的数字。动车相撞35人死亡,河南平顶山矿难35人死亡;重庆暴雨造成35人，云南遭大雨袭击全省35人死亡。为什么死亡人数总在36人以内？？？？？[吃惊]
100013,2,1,20150101 21:32:21,m,40707,9344,上海踩踏事故遇难人数35人，35,一个神奇的数字。动车相撞35人死亡,河南平顶山矿难35人死亡;重庆暴雨造成35人，云南遭大雨袭击全省35人死亡。为什么死亡人数总在36人以内？？？？？[吃惊]
100014,0,0,20140731 08:14:08,f,20,80,室内跑打卡，台风到上海，明天机票改高铁 #有的是能耐##Runwithus##KiteRunners# @Kite_Runners @NikeRunning http://t.cn/RPIIZYA
100015,0,0,20150127 22:04:49,f,524,677,上海下雪啦～ 第一次看下雪激动得裹着浴袍就跑出去了 小腿冻得快没知觉了～ 初雪没有炸鸡也没有啤酒还是alone 就早早睡了吧 好梦～
100016,1,0,20141121 17:24:30,m,101,3798,深圳市政府善于从市民口袋里抢钱。路边停车，一天几百。北京，上海不屑于用这样的下流手段。
100017,0,0,20140731 20:45:20,f,250,1862,回复@曰-口:很热的。唉//@曰-口:放心吧，会去的。不过这两天上海天气很好啊//@sTaR_bUcKs-CoFfEe:不要到上海来。不喜欢下雨
100017,0,0,20150227 07:45:17,f,250,1862,下冰雹了。发烧了。原以为过了春节。明媚的春天三月来了。现在才感觉这个上海今天像入了冬
100018,1,0,20150428 23:14:09,m,287,1843, //@雨农谈股:回复@6号基地:这可不是砸盘！这是砸…//@6号基地:各种砸!各种砸!//@雨农谈股:上海预报也有暴风大雨冰雹
100019,0,0,20150101 08:45:52,f,181,1673,2014年12月31日晚23时35分许，上海市黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，42人受伤。图为踩踏现场。
100020,0,0,20150424 08:46:35,f,176,736,今早地铁10号线老西门站遇一中年大妈，为贪图自己两站后下车堵在门口，让她往里挪一下（里面很空）让其他人下站下车，她居然说：“要你指挥，你要下就自己下，我之后也要下车。”这也是造成高峰地铁拥堵无法挤上车的重要原因啊，可怜的国民素质@上海地铁shmetro @上海发布
100021,7,4,20140706 21:14:27,m,9053,27258, //@徐昕:【上海地铁“色狼”遭人肉后自首】男子姓王，已婚， 系国企党办副主任。他否认骚扰女乘客，称“睡觉不小心碰到的”。http://t.cn/RvdCj5M
100022,0,0,20150329 13:19:47,f,427,1001,大哥，今天粉丝八百万了哈，快说自拍还是秒拍，要不，你可以拍拍上海的景色嘛，上海的景色也是很美的哦，而且现在的上海天气非常好，万里无云，温度也高，嗯，可以好好滴玩一下啦。比如说，东方明珠，城隍庙，外滩什么的都很好，实在不行来我这感受一下大自然咯！
100023,0,0,20140704 19:55:01,m,25,187,#上海地铁色狼# 对9号线地铁咸猪手，你怎么看？ 若事情属实，坚决将色狼绳之以法 详情:http://t.cn/RvBCVMy
100024,0,0,20150203 16:09:00,m,261,781,最近一期中国旅游摄影艺朮报刊登了我的一张在世纪公园拍摄的《日出东方》照片。当天是上海一场台风过后，天空特别洁净。
100025,0,0,20140911 07:46:07,f,128,382,我参与了@天秤座小晶 发起的投票【你认为哪些属于上海地铁车厢里的“听觉污染”？】，我投给了“视频媒体广告声”等3个选项。你也快来表态吧：http://t.cn/RhVuOjJ
100026,0,2,20150101 08:14:40,f,857,406,眼睛一睁就看到这个沉重的事故[蜡烛]，还好我没有去凑热闹//@头条新闻:现场图片//@新浪图片: //@感光度: 上海黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，42人受伤。[蜡烛] 上海市已连夜成立工作组，事故原因正在调查中。
100027,0,0,20150327 11:53:20,f,349,2890,#墨迹天气#当前上海天气：小雨，气温12度，东北风1级，湿度88%。03月27日11时发布。 http://t.cn/zlFYvjn
100028,0,0,20140731 08:15:38,m,1470,3063,受台风“娜基莉”影响 京沪、沪宁等高铁停售8月2日、3日车票 新华网上海频... - http://t.cn/RPIILBh 
100029,0,0,20140928 10:52:02,m,157,6444,"[心][心][心]//@曹菡艾:上海，他们已经走出了地狱，现在需要家。请带个猫猫回家吧[心]真南路1999号桃浦派出所，和地铁11号线武威路站4号口，中间马路边的绿地。[话筒][话筒]"
100030,0,0,20150429 07:58:47,f,41,485,借你吉言，平安平安//@平安anson: 白天还在看车展，晚上常州苏州冰雹，上海大雨。我在虹桥机场飞北京却无限delay的这厢，上海中环的那厢传来噩耗，La Ferrari全球第四撞。幸好人没事，但是这样法拉利的艺术品又少了一台。Porsche 918和La ferrari都在魔都撞了，McLaren P1要守住啊，别撞了，真心疼
100031,0,2,20150215 20:35:47,f,192,714,上海小雨，很暖 http://t.cn/RwVdUOz
100032,0,0,20150120 15:24:05,m,365,1775,非常同意天河西，去了一次不敢去第二次了………以及上海陕西南路和徐家汇，北京的西直门，都是拿生命在换乘地铁😭
100033,0,0,20150312 23:47:51,m,296,429,这就是命，一念之间。可惜了两个家庭。[蜡烛]//@鲁振旺:这位猫先生是个摄影师，据传是撞死上海交警的宝马车主，你想对他说什么？
100034,0,0,20141009 22:43:39,m,920,29498, //@上://@陈流长: 不知博主是否知道“上海安检不如狗”这句话。安检看到老乡溅射者嬉笑放行，各种刀锤棍锯堂而皇之上地铁，上海市民背个双肩包必须拦下来安检，连上班族小姑娘包里的卫生巾都不放过，这种不如狗的安检搞得民怨沸腾，冲突四起，带包直接通过已经算是给面子了。请看#上海地铁安检#话题。
100034,0,0,20141206 09:15:28,m,920,29498, //@上海晶晶亮://@BONNIE耿脾气小赤佬:最右你是申通请来的逗比吗 //@SH-时生何碍:公然要求上海人滚出上海哦~狠吧？→_→//@加油法拉利: 不好意思，所有上海地铁运营工作人员工作手册规定必须使用普通话交流谢谢，不遵守就扣工资谢谢，扣得钱你来给吗，请你滚出上海谢谢
100034,0,0,20140924 21:25:01,m,920,29498, //@上海阿无乱蝗虫防治公司董事长:上海地铁安检岗位就是外地流民的集中营，前提是为了维稳，牺牲上海的治安和发展，但是带给上海安居乐业者(不分本地人还是外地人）都是无尽的事故
100034,0,0,20141024 22:12:31,m,920,29498, //@侬好旁友:【上海地铁通车21年就建博物馆！地铁运营公司是不是钱太多，花不完？】via@ 吳儂軟語話上海 上海公交开通106年到现在还没有一个像样博物馆。请问@上 何时建立一个公交博物馆,把一百多年来主要公交车型展示出来,尤其是上世纪70、80年代上海公交乘车难的时候的铰接式公交车、无轨电车。
100034,0,0,20140806 16:18:10,m,920,29498, //@壹号战神franck://@鋼筆様子: 重庆驻沪办尹恒副主任滥用职权干涉上海执法部门依法拆违违章搭建.煽动闹事.打伤执法人员.还反咬一口.好一个驻沪办[弱]
100034,1,1,20141205 00:12:16,m,920,29498, //@全球上海人权益互助保护组织:是的，根本就是愈演愈烈，上海地铁有关部门请继续视而不见好了！早晚领导集体下台！
100034,0,0,20150420 00:18:35,m,920,29498, //@SH-2015:上海地铁就是个笑话！16号线是个大笑话！//@自大的木昆: 今天周日，16号线下午4点又限流了！
100034,0,0,20141209 11:02:53,m,920,29498, //@上海阿无乱蝗虫防治公司董事长://@守沪者韵v: 这就是三亚版本的李师傅案件。复旦大学女学生张芊（东北籍）在停车位撒泼殴打保安（本地籍）后，保安自卫反抗。结果三亚司法机构（里边大量东北籍）判决保安赔付东北人7万元，貌似还有拘留。三亚就是上海的前奏。流民控制了司法机构之后，不堪设想。
100034,1,0,20141006 17:16:01,m,920,29498,来上海地铁里屎尿，
100034,1,1,20141008 00:08:22,m,920,29498, //@请盘盘切污里头:安检就是骗薪水的蛀虫！ //@绿灯侠乔丹:前几个是在地铁里拉小提琴…//@Antonivetra: 图5车比坐了嗨额宁埃高，眼乌子侪瞎特了？ @轨交总队一员周智 @轨交幺幺零 @上海轨道保安 @上海地铁shmetro #上海地铁安检#
100034,0,0,20141222 17:25:54,m,920,29498, //@蓝蟹子-James:搞不懂上海公交车的车头和车尾上部线路牌上为何还要有“空调”二字和雪花标志？上海公交本来就已经全空调了，还要有这二字和雪花干嘛？怕人家不知道你是空调车吗？把“空调”和雪花去掉，改成起终点站名不是挺好！
100034,0,0,20150101 22:33:52,m,920,29498, //@Sissi1012-SH:昨天上海地铁乘客数超1000万次～先取消地铁～谢谢[挖鼻屎][挖鼻屎]
100034,1,1,20141228 17:59:15,m,920,29498, //@全球上海人权益互助保护组织:一旦一个人出来了，发现上海地铁管理那么松散，有机可乘，于是整个老家的人就都出来了。2老2少1幼将成为以后地铁乞讨人员的标配！
100034,1,0,20150101 10:17:16,m,920,29498, //@上海判五年蝗虫防治公司CEO:哈哈，又出現熟悉的場景！最右一陣高潮后，打了遠在上海的住在群租房里的各路親戚電話，結果發現沒一個電話打的通了
100034,0,0,20140925 18:39:15,m,920,29498, //@壹号战神franck:这种屡屡逃票的外地人，上海地铁安检不管，执法队不管，上海人管了就落得这结果，被打和还手，前者受伤，后者破财，没有第三种，不管是哪种都是自己吃亏，也难怪社会风气这么差，法律法规是死的，人是活的，要死钻制度法规我也就呵呵了。
100034,1,0,20141203 17:11:04,m,920,29498, //@申-花蓝色荣耀://@真緋村劍心余孽帮成员: 眼熟！//@铁臂阿童木229: //@龚肖上林: [哈哈] //@人贱人爱花贱花开美呆瓜一枚:[哈哈]//@口香糖: [哈哈]//@尛臉琳儿:哈哈哈，贴切//@卫沪而生: 啥片子，搞笑的//@陈流长: 上海地铁安检即视感！
100034,0,0,20141125 23:37:13,m,920,29498, //@壹号战神franck:大家心里都清楚，只剩上海地铁死活不承认
100034,0,0,20150310 22:52:49,m,920,29498, //@Shanghai-2015:上海地铁就像上海这座城市一样，整天超负荷运转，不出事才怪！[蜡烛]
100034,0,0,20150304 23:56:16,m,920,29503, //@Shanghai-2015:回复@StevenZL条头糕:[瞧瞧]上海警察就是YP的帮凶！有些上海警察被YP捅死也活该！ //@StevenZL条头糕:我妈前段时间也被yp助动车撞过 去医院看病就用掉6百多 交警判他全责 yp就陪100（交警说你不同意100都没有） //@Shanghai-2015:珍惜生命，远离YP！😡
100034,0,0,20140712 20:18:01,m,920,29498, //@卿_卿0628:全称：上海公共厕所一号线，欢迎光临！
100034,0,0,20140911 23:49:37,m,920,29498, //@海洋是申-花-余-孽:看看吧，上海教委里还有上海人吗？同理，上海地铁也不都是上海人在管理！所以没有什么大惊小怪的，上海的文化已经被侵蚀了，产生什么样的后果就不言自明！
100034,0,0,20141103 19:22:04,m,920,29498, //@绿灯侠乔丹:都是老翔//@酸菜漏丝面加酱蛋: //@Antonivetra: 这把锤子真是小巫见大巫了吧 #上海地铁安检# //@南宫德国头哥大于罗尼: //@尛臉琳儿: @上海轨道保安 @轨交幺幺零 @轨交总队一员周智 @上海地铁shmetro
100034,0,0,20150114 23:41:01,m,920,29498, //@SH-2014:[话筒]因为宁波安检大都是宁波本地人！上海地铁安检大都是外地乡下人！说的方言不知道是哪里的土话！有的甚至连初中学历都没有，正宗的半文盲！也不知道申通地铁是从哪个山沟沟招来这帮农二代溅射者的？/ 同樣的地鐵安檢，人家寧波地鐵就是在仔仔細細認真地查，態度和上海地鐵有天壤之別。
100034,0,0,20140925 13:41:27,m,920,29498, //@壹号战神franck:呵呵//@金牌钟点工: 洋大人倒地，上海地铁屁颠屁颠自己拿车厢监控出来；市民遇到无赖寻隙滋事，监控就变摆设了！要赔钱，请问警方事实真相调查清楚了吗？找过目击证人了吗？什么都没做，只知道捣浆糊让市民掏钱哄无赖，啊呸！@上海地铁shmetro
100034,0,0,20140924 14:27:44,m,920,29498, //@请盘盘切污里头: 一个死德行//@哇哇乱放pp:册那 统一套路咯[挖鼻屎] //@阿里搭:WDB都是这副德行//@葫芦孢子往死里打。不要给脸。这种贱逼就是和棍棒教育 //@310盐水包大能猫: //@KDS-TF-LEE:今天上海地铁也躺平一装死的外地逼，他妈的真是不管男女最擅长躺倒 //@郁树凌风的联想:盲流躺平了要公平 
100034,2,0,20141031 09:57:43,m,920,29498, //@上海阿无乱蝗虫防治公司董事长:就是看你单身小姑娘才打你，而且你要反抗的话，他们就讹诈你 //@绿灯侠乔丹:63189188转98110博主不用谢 //@88年的恋狼:呵呵 //@哈次爷叔V:就看博主是女的才动手呀 //@大卡仁波切:记者都打？？？？ //@Antonivetra:#上海地铁安检# @上@上海地铁shmetro
100034,0,0,20141130 22:16:22,m,920,29498, //@壹号战神franck:是的，上海乘客要求上海地铁工作人员用上海话服务，这位山东女交警对此颇有微词，认为不该用上海话。//@KDS-BEN: 这女的不是那个上次不许我们说上海话那个人吗
100034,0,0,20150317 17:59:28,m,920,29498, //@Shanghai-2015:[瞧瞧]贱射者们开着外牌黑车来上海违章摆摊无证经营，破坏了上海的市容环境和商业环境。不知道这些外地人对上海有什么贡献？ 
100034,2,0,20150118 12:56:48,m,920,29504, //@RR_SFC:YP什么不能干？//@红烧肉是守沪者: 外牌可以进上海了？摩托车可以上高架了？
100034,2,0,20140914 00:33:20,m,920,29498, //@壹号战神franck:→_→[赞]//@金牌钟点工: 上海是我憎恨，向往的所在，带着我所有的情怀。来一次骗财，偷一回井盖，在永远的捞金年代。逃票的速度它越变越快，垃圾广告越发越多。身边的安检永远也不管，上海地铁越看越爱。好日子，好时代，我在上海，老乡也在。
100034,0,0,20150304 10:42:50,m,920,29498, //@310老弄堂:他们自认为有了套狗皮就有权利了//@绿灯侠乔丹:他们没读过书[doge] //@Antonivetra:小学生的书包比老乡们的大杀器凶险百倍 #上海地铁安检# #上海地铁# @轨交幺幺零 @上海轨道保安 @轨交总队一员周智 @上海地铁shmetro
100034,0,0,20141221 11:08:44,m,920,29498, //@上海O:白完周末放送//@阿雯雯小姐:都是老乡//@勒:上海地铁每天大量YP逃票，何止千万啊！[怒]//@阿雯雯小姐://@菜泡饭加榨菜:无所不用其极 //@请盘盘切污里头: //@库洛学长:今日白完第一彈//@大力豆是大横按肌无力患者: //@魔都310土匪://@310盐水包大能猫:白完//@SH甜面酱:和上海地铁逃票如出一辙
100034,0,0,20140826 17:38:47,m,920,29498, //@请盘盘切污里头: //@自信积极乐观-SH小克拉://@蓉蓉_舍得: //@红烧肉是申-花-余-孽:你们上海人就是矫情：马路么就是开车、停车的；花坛噶空，伐去停伐是浪费么？
100034,0,0,20150107 20:08:04,m,920,29498, //@SH-2014:之所以上海地铁乞丐抓不完，因为许多都是安检老乡！故意放进来乞讨的！[草泥马]//@鋼筆様子:[话筒]@上海地铁shmetro 安检还搞副业？
100034,0,0,20150213 17:12:14,m,920,29498, //@壹号战神franck:上海地铁安检的存在，主要是为了解决外来人口的就业问题，没有地铁安检外地人失业游荡在社会，政府捉急~[呵呵]
100034,0,0,20140820 23:12:30,m,920,29498, //@壹号战神franck:上海地铁安检，上海地铁执法队呢？
100034,0,0,20150125 01:31:04,m,920,29504, "上海坐地铁人数超过一千万人次，如果加上其它交通人数，上海这个城市已经不堪负重！ 上海非户籍人口超过户籍人口，还有那么多短期流动人口，可以说是人太多了！上海轨道交通是世界发展最快最先进的。我坐过上海的地铁，感觉比伦敦好。但是考虑到上海的人这么多，再好的交通系统，也无济于事。"[蜡烛]
100034,0,0,20141102 19:33:01,m,920,29498, //@Sissi1012-SH:。交税养了一群废物。。//@上海轨道交通俱乐部: 【97%网友不满执法队工作 神龙见首不见尾】截止目前，已有超过100位有网友参与了投票，97%的网友认为执法队的成立并没有使地铁内“四乱”有所遏制，甚至超过7成的网友认为上海地铁内环境仍在恶化。几乎没有网友见过执法队的进行执法工
100034,0,0,20140825 11:19:27,m,920,29498, //@壹号战神franck:上海地铁安检，就是个大笑话
100034,2,0,20140831 12:37:47,m,920,29497, //@卿_卿0628:bo小学毕业了吗？“和居心”是神马？能吃吗？//://@310盐水包大能猫://@阿雯雯小姐:册那妈逼，没你们安检狗的时候，上海太太平平的！！安检狗一来，浪费财政预算，浪费出行时间！这一切一切的浪费就是为了给安检狗就业机会，安检设备的销路！敢披露厂家股东的亲戚名单吗？！攻机体制？
100034,0,0,20141112 22:59:17,m,920,29498, //@沪言乱语://@我叫三颗牙: 哟，下战书了哦//@MaggieHjm: 有问题私信，别在评论里面瞎BB。更显得你们上海男人一副找打的怂B样。你看看、你看看、一群吃屎的货。
100034,0,0,20140924 14:37:12,m,920,29498, //@上海阿无乱蝗虫防治公司董事长:上海地鐵——50%外來流民逃票狗+10%持械工地狗+20%各類蒜味餿味白襪黑鞋巨型書包頂人和紅綠紫搭配男女精英+10%抱小孩背音響假唱月入數萬賤射者+10%上海人//@310盐水包大能猫://@上班困扁头:上海也一样，早高峰一节车厢里没几个上海人
100034,0,0,20150403 02:33:34,m,920,29498, //@全球上海人权益互助保护组织:个人估计如果人口再不控制，地铁极有可能再上下班或者节假日高峰时间段发生严重的拥挤踩踏事件！希望上海市政府有关部门能够防患于未然尽快，尽早，尽可能的做好突发事件的应对措施！
100034,1,0,20140902 12:39:39,m,920,29498, //@申-花蓝色荣耀-绿地滚蛋-余孽帮:叫得最响的，东北口音：拉过来打//@shanghai_shenw: //@南极洲冰鱼是个闲散人员:丧肛么一直去高校拉没事做的硬盘学生来看球 又不是第一天本来就是一群硬盘上海话都说不来的！ //@蓝灬魔灬熊:原来都是硬盘啊//@蓝色5ZP_青争:打的好。打死帮YP狗 //@牛汉森_:转发微博
100034,0,0,20150122 23:13:42,m,920,29498, //@壹号战神franck:上海地铁安检人员，一年工资总额4个多亿，就养了这种狗不如的货色…
100034,0,0,20141225 08:48:32,m,920,29498, //@上海判五年蝗虫防治公司CEO://@310盐水包大能猫://@Psycho_Mr-AJ://@SH-2014: 估计以后YP杀了人把尸体装进袋子里也可以用上海地铁搬运…… [蜡烛]
100034,0,0,20141108 12:38:21,m,920,29498, //@平淡的静儿:[抓狂][抓狂]//@KDS-Jack曾经是恶灵骑士:@上海120 又一笔血债，我记得120急救员被白完打的时候，跳出来维护你们的也就只有上海网友吧，你们对得起上海两个字么？//@Edward_少爺_君子有酒多且旨:[蜡烛]//@壹号战神franck: 上海的救护车去跨省救援了
100034,5,0,20140827 21:49:59,m,920,29498, //@2014天亮了:完了，连报废出租车的去向的管不好//@败家:世博会的时候，我在上海打车，因为下雨，我在相反的方向拦车，司机上车很客气的解释说，方向不对，不是要给我绕路，并且征求我如果堵车能不能换条路走，大概远1-2公里，内会觉得上海的出租车服务真的很好//@考: 白完井盖出租车已经毁掉上海了 
100034,0,0,20150110 09:24:18,m,920,29498, //@上海判五年蝗虫防治公司CEO:看來上海地鐵已經站在了春運的第一線//@绿灯侠乔丹:二狗子，你看我这铁锹…叔，进去吧…可规定…那是放屁…//@骑了额蜗牛兜上海:早蒙妞妞//@蒙语显示指尖:一清老早几号线啊//@丨如是丨:@Samantha-晓艾 @飚车的蛤蟆 [怒]
100034,1,0,20150101 10:20:51,m,920,29498, //@上海判五年蝗虫防治公司CEO:這是我們的外灘，現在是他們的外癱，死人的外癱//@食砚无田:今晨惊悉：【外滩陈毅广场昨夜发生群众拥挤踩踏事故】2014年12月31日晚23时35分许，上海市黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，42人受伤。在此，向逝者致哀[蜡烛][蜡烛][蜡烛]
100034,0,0,20140927 22:53:34,m,920,29498, //@上海阿无乱蝗虫防治公司董事长://@蓉蓉_舍得:@上海发布 很符合大农村形象//@@rose_july: 历史在倒退，现在上海交警很多是外地的，估计他们看到还挺亲切//@Schaller_zZ: 上海几十年前就是个小渔村 虽然走过一段弯路 但现在靠着千万面貌忠厚'初中以下学历的流民全身心的付出 已经回到正路上来了
100034,0,0,20150316 10:00:19,m,920,29498, //@全球上海人权益互助保护组织:胶州路大火让我们看到了上海团结的力量，上海交警牺牲让我们看到了上海正义的力量！上海人UP UP UP！
100034,0,0,20140827 07:33:48,m,920,29498, //@奇迹乘着雪橇来:@金牌钟点工:@上海地铁shmetro @九九的88://@蓉蓉_舍得:@美丽霖妈唤雨师: //@Schaller_zZ://@口香糖: /@大笨豬愛著小呆豬:@上海地铁shmetro  http://t.cn/RPv84oZ
100034,1,0,20140801 23:58:20,m,920,29498, //@壹号战神franck:据我所知，上海地铁安检是集体承包给了外面的野鸡公司
100034,0,0,20150121 09:32:13,m,920,29498, //@射手爱吃紫雪糕://@Antonivetra:怕夯 @轨交幺幺零 @轨交总队一员周智 @上海轨道保安 @上海地铁shmetro #上海地铁安检# #上海地铁#
100034,0,0,20141130 01:30:11,m,920,29498, //@沪言乱语://@鋼筆様子:看看人家北京地铁推行的新法.最高罚一万,最低1000.可上海地铁呢[喵喵]
100034,0,0,20141209 22:44:44,m,920,29498, //@海洋是申-花-余-孽:本世纪最大的笑话[笑cry]//@[晕] //@猫猫爸爸是老虎://@雁山岩:照顾老家穷亲戚的差事~~[怒]//@培培冲出重围: 地鐵安檢呵呵[笑cry][笑cry] //@西猫哈刚:看到好欺负的就欺负呗，要么就是装招财猫//@回龙观神经病医院院长: 哈哈哈哈哈上海地铁安检就是个笑话``//@鋼筆様子:[喵喵]
100034,0,0,20141129 00:32:22,m,920,29498, //@请盘盘切污里头:地铁安检就比死人多一口气！ //@绿灯侠乔丹:加强安检力度大能猫: //@小毛拉爷知道青春已经回不来:要是哪天某个精神病在地铁里伤人了。。看它们怎么收场。。[怒] //@Antonivetra:@轨交幺幺零 @轨交总队一员周智 @上海轨道保安 @上海地铁shmetro #上海地铁安检#
100034,0,0,20141222 13:42:44,m,920,29498, //@请盘盘切污里头:昨天新华医院门口也是YP三口之家骗钱，说钱包被偷，真是无耻下三滥！ //@DavyJones船长:老婆在地铁口做安检，老公带着孩子进地铁要饭。//@kds-发条天使:有手有脚不去工作去要饭跟狗有什么区别//@Antonivetra: 认识吗？ @轨交幺幺上海轨道保安 @上海地铁shmetro#上海地铁安检#
100034,1,0,20150128 00:04:06,m,920,29498, //@上海晶晶亮://@蓝墨水儿99:[挖鼻屎][挖鼻屎][挖鼻屎] //@爱上海-彪彪哥:右边→_→ //@70后的爱:在上海沪牌320万，外牌860万，从马路上车辆的沪外比例也能看出，从违章查询榜也能看出这个比例，而这个数据是交警总队统计的数据。
100034,0,0,20150318 15:05:02,m,920,29498, //@Shanghai-201:[话筒]光是地铁日均客流就比去年多了100多万，同时地面交通堵塞情况也比去年严重，说明今年上海外来人口至少又增加了几百万！年初的外滩踩踏事件只是一个开头，更多的惨剧还在后头！[蜡烛]//@上海碩鼠:故障、限流、故障、限流、故障、限流 ..............................Game Over。
100034,1,0,20140705 02:10:22,m,920,29498, //@壹号战神franck:不算不知道，一算吓一跳，养活上海地铁安检这帮YP，一个月3000多万，一年四亿多！//@鋼筆様子: @脊梁in上海 这篇分析的很透彻.
100034,0,0,20141112 22:47:15,m,920,29498, //@Sissi1012-SH:[哈哈][哈哈][哈哈][哈哈][哈哈][哈哈] //@Schaller_zZ: 上海地铁可以搞个“最多人同时钻闸机逃票”的吉尼斯世界纪录
100034,0,0,20141203 21:56:27,m,920,29498, //@全球上海人权益互助保护组织:上海地铁在再现奇葩：好啊，上海处处是黄金，直接拿着老家的产品在地铁上卖！实现O2O多好啊！尼玛！所以关键问题不在于安检，而在于车厢内是否有执法人员长期巡逻！
100034,0,0,20140713 02:50:55,m,920,29498, //@上海机动车交通违章曝光台:[网友提供]匝道口倒车算什么？来个更猛的——匝道逆行的——今年4月15日在中环内圈向济阳路卢浦大桥方向。@警民直通车-静安 // 这个匝道口没有监控，逆行违章一定要当场三张以上连拍的图片才有能作为处罚依据，而网络举报图片在上海地区不被认可是最无奈的问题。
100034,0,0,20140716 21:01:03,m,920,29498, //@壹号战神franc: 视频剪过，把安检动手的片段减掉了。//@壹号战神franck: 为什么要配合？地铁安检并非警察编制，根本无权检查或要求配合！看视频，乘客人都过去了，安检犯贱在后面动手，估计嘴巴还不干不净，才有了打架事件。这段视频显然剪切过，请给出完整版。上海地铁安检就是笑话，我要说该打！
100034,0,0,20140902 10:35:49,m,920,29498,不如🐶 //@壹号战神franck:每天一晒，看看上海地铁安检多么不如狗！
100034,0,0,20140830 02:16:51,m,920,29498, //@请盘盘切污里头:敲头工具 //@Antonivetra:这是什么东西呀 @上海轨道保安 @上海地铁shmetro #上海地铁安检# //@SH豆瓣酱: 又是大杀器 //@猫和小黄鱼://@我是一个喜欢吃五香豆的唐僧: //@SH-糟溜鱼片:转发微博
100034,0,0,20141203 22:34:22,m,920,29498, //@请盘盘切污里头:[蜡烛] //@桫椤河://@培培冲出重围:[doge] //@6个和弦-改变世界: //@Antonivetra:@轨交幺幺零 @轨交总队一员周智 @上海轨道保安 @上海地铁shmetro #上海地铁安检# @新民晚报新民网
