id,SGBH,DMSM1,SGDD,SGFSSJ
97,3101157201400290,死亡事故,普庆路进德兴街东约1米,2014-7-1 19:12:00
98,3101070201400090,死亡事故,交通路进泾惠路西约150米,2014-10-12 0:26:00
99,3101109201400031,死亡事故,周家嘴路出许昌路西约20米,2014-9-14 11:25:00
100,3101182201400438,死亡事故,天辰路向阳河路西约5米,2014-9-5 19:13:00
101,3101165201400089,死亡事故,金石公路出亭枫公路南约300米,2014-10-2 10:03:00
102,3101122201400185,伤人事故,浦放路进鲁陈路西约1500米,2014-7-28 13:11:00
103,3101156201400559,死亡事故,川沙路储七路东约1米,2014-12-12 18:09:00
104,3102213201400016,死亡事故,杨高北一路出港华路南约100米,2014-10-1 10:35:00
105,3101123201400195,死亡事故,中春路顾戴路北约5米,2014-8-11 9:42:00
106,3101139201400123,伤人事故,�藻南路江杨南路路口,2014-7-11 16:30:00
107,3101170201400142,伤人事故,泗凤公路新家园路东约1米,2014-9-22 22:52:00
108,3101159201400306,死亡事故,巨峰路进申江路东约10米,2014-7-11 17:21:00
109,3101151201400371,死亡事故,上丰路进达丰路北约100米,2014-8-22 11:48:00
110,3101143201400124,死亡事故,沪宜公路嘉安公路(西)南约1米,2014-9-17 9:19:00
111,3101138201400171,死亡事故,宝安公路东侧0km约2165米,2014-10-16 9:18:00
112,3101157201400324,死亡事故,海霞路进川南奉公路东约80米,2014-7-23 18:10:00
113,3101154201400339,死亡事故,芦五公路妙香路东约5米,2014-8-1 9:33:00
114,3101150201400388,死亡事故,周祝公路进南六公路西约50米,2014-9-10 15:07:00
115,3101152201400328,死亡事故,上海绕城高速南侧上海绕城高速龙东大道南向东下匝道前约50米,2014-7-25 21:50:00
116,3101126201400191,死亡事故,江月路浦星公路北约0米,2014-8-3 14:50:00
117,3101178201400107,死亡事故,光星路茸平路南约5米,2014-8-4 18:20:00
118,3101179201400091,死亡事故,叶新公路进许村公路西约500米,2014-7-12 8:14:00
119,3101163201400059,死亡事故,亭枫公路兴豪路东约500米,2014-8-26 10:18:00
120,3101125201400269,死亡事故,金都路春西路西约10米,2014-10-29 17:20:00
121,3102235201400006,死亡事故,富特中路新灵路北约00米,2014-12-3 16:07:00
122,3103013201400008,伤人事故,内环高架外侧NW0937约5米,2014-10-3 5:16:00
123,3102301201400090,死亡事故,港沿公路草港公路东约200米,2014-8-15 19:30:00
124,3101140201400127,死亡事故,京沪高速东侧1207.4km约1米,2014-9-22 3:00:00
125,3101127201400197,伤人事故,沪青平公路七莘路南约5米,2014-8-14 7:26:00
126,3101122201400240,死亡事故,虹梅南路出元江路北约150米,2014-10-4 12:40:00
127,3101185201400483,死亡事故,沈海高速东侧1282km约300米,2014-10-27 22:05:00
128,3101138201400183,死亡事故,宝杨路淞宝路路口,2014-10-28 7:48:00
129,3102305201400091,死亡事故,陈海公路出前竖公路北约10米,2014-8-18 7:40:00
130,3101129201400282,伤人事故,沪青平公路申昆路西北约10米,2014-11-13 17:44:00
131,3101144201400099,死亡事故,京沪高速东侧1218km约200米,2014-7-22 2:10:00
132,3101152201400332,死亡事故,拱极东路盐大路东约1米,2014-7-28 10:25:00
133,3101182201400465,死亡事故,崧泽大道外青松公路东约5米,2014-10-6 9:55:00
134,3103014201400006,伤人事故,中环高架内侧ZN0906约0米,2014-9-11 12:01:00
135,3101174201400117,伤人事故,嘉松南路泗陈公路北约10米,2014-8-19 20:54:00
136,3101178201400127,死亡事故,松东路进环城路北约150米,2014-9-14 3:18:00
137,3101121201400224,伤人事故,陈行公路浦星公路北约0米,2014-9-22 21:00:00
138,3101162201400076,死亡事故,金廊公路朱吕公路南约3000米,2014-8-31 15:50:00
139,3101124201400253,死亡事故,沈杜公路浦星公路东约0米,2014-10-18 21:20:00
140,3101171201400103,死亡事故,香闵路进香车路南约20米,2014-7-19 20:10:00
141,3101165201400090,死亡事故,漕廊公路东贤路东约10米,2014-10-7 18:42:00
142,3101188201400370,死亡事故,久业路出北青公路北约100米,2014-7-19 23:15:00
143,3101150201400311,死亡事故,妙境路进青厦路南约30米,2014-7-16 11:39:00
144,3101153201400373,死亡事故,上川路华东路东北约15米,2014-8-25 11:12:00
145,3101123201400194,死亡事故,沪闵路北松公路南约50米,2014-8-8 11:20:00
146,3101159201400463,死亡事故,川周公路平川路南约20米,2014-10-22 8:20:00
147,3101019201400019,死亡事故,打浦路进斜土路北约100米,2014-7-25 8:10:00
148,3101140201400119,死亡事故,双丁路德富路西约2米,2014-9-5 15:09:00
149,3101147201400116,死亡事故,嘉行公路新建一路北约1米,2014-8-29 23:18:00
150,3101209201400105,死亡事故,奉炮公路东侧2km约200米,2014-8-21 22:14:00
151,3101040201400050,伤人事故,宛平南路出斜土路南约200米,2014-8-12 0:12:00
152,3101201201400091,死亡事故,新四平公路进川南奉公路北约500米,2014-7-13 6:50:00
153,3101142201400150,死亡事故,金沙江西路金园一路西约1米,2014-11-12 15:50:00
154,3102304201400118,死亡事故,草港公路出陈��肺髟�0米,2014-10-23 14:56:00
155,3101156201400318,死亡事故,川沙路出上川路南约20米,2014-7-21 7:35:00
156,3101158201400375,死亡事故,申江路出锦绣东路北约200米,2014-8-26 23:42:00
157,3101140201400102,死亡事故,沈海高速北侧1268km约500米,2014-8-4 22:30:00
158,3101131201400161,死亡事故,瑞丰路进丰翔路北约400米,2014-9-30 5:10:00
159,3101097201400033,伤人事故,广粤路进广灵四路北约200米,2014-11-18 16:34:00
160,3101152201400314,死亡事故,申江南路进古丹路北约500米,2014-7-18 14:09:00
161,3101127201400201,死亡事故,龙吴路出北吴路北约100米,2014-8-21 19:26:00
162,3101201201400096,死亡事故,新四平公路进川南奉公路南约2米,2014-8-1 4:35:00
163,3101180201400464,死亡事故,新府中路进华志路南约1000米,2014-9-30 22:18:00
164,3101157201400387,死亡事故,东三里桥路南码头路东约1米,2014-9-7 11:13:00
165,3101143201400126,死亡事故,嘉罗公路施曹公路东约500米,2014-9-21 9:07:00
166,3101129201400255,死亡事故,立跃路立民路西约0米,2014-10-19 13:12:00
167,3101148201400120,死亡事故,嘉安公路嘉松北路西约300米,2014-9-5 20:05:00
168,3101138201400167,死亡事故,水产路铁山路路口,2014-10-10 15:35:00
169,3101124201400204,伤人事故,昆阳路出江川路北约300米,2014-8-28 19:38:00
170,3101075201400087,死亡事故,大渡河路怒江北路北约0米,2014-10-2 23:33:00
171,3101205201400104,死亡事故,上塑路进沿钱路东约800米,2014-8-15 9:40:00
172,3101124201400237,死亡事故,西环路进闵松路南约300米,2014-9-30 3:59:00
173,3101152201400495,死亡事故,同顺大道茂祥路东约5米,2014-11-8 18:30:00
174,3101178201400089,死亡事故,袜子弄出中山东路北约150米,2014-7-10 10:48:00
175,3101130201400155,死亡事故,外环高速外侧约80km,2014-9-23 23:20:00
176,3101096201400019,伤人事故,周家嘴路新建路西约00米,2014-7-16 0:10:00
177,3101049201400048,死亡事故,衡山路余庆路东约5米,2014-8-10 6:48:00
178,3101070201400066,死亡事故,真南路出红柳路东约50米,2014-8-6 17:52:00
179,3102301201400106,死亡事故,草港公路建设公路西约500米,2014-9-24 9:27:00
180,3101014201400022,死亡事故,中山南路会馆弄西约0米,2014-8-25 5:20:00
181,3101170201400126,死亡事故,山房公路东侧2km约100米,2014-9-13 16:50:00
182,3101208201400095,死亡事故,四平公路东侧2km约400米,2014-7-31 20:23:00
183,3101125201400217,伤人事故,纪翟路出北青公路北约200米,2014-9-14 13:28:00
184,3101045201400046,死亡事故,柳州路出宜山路北约150米,2014-8-6 7:35:00
185,3101153201400453,死亡事故,顾唐路上丰路东约1米,2014-10-15 20:20:00
186,3101121201400214,伤人事故,莲花南路向阳路北约20米,2014-9-10 18:44:00
187,3101206201400086,死亡事故,大叶公路东侧41km约100米,2014-7-2 19:00:00
188,3101172201400109,死亡事故,昆港公路进佘天昆公路南约200米,2014-8-11 4:55:00
189,3101127201400225,死亡事故,剑川路虹梅南路东约1米,2014-9-23 15:00:00
190,3101159201400338,死亡事故,高科东路顾唐路东约1米,2014-7-31 17:38:00
191,3101180201400441,死亡事故,漕盈公路清河湾路(南)南约5米,2014-9-5 17:45:00
192,3101122201400223,死亡事故,莲花南路出东川路南约500米,2014-9-19 17:48:00
193,3101151201400312,死亡事故,申江南路川周公路南约5米,2014-7-18 8:23:00
194,3101138201400120,死亡事故,沪太公路月罗公路路口,2014-7-9 5:14:00
195,3101175201400134,死亡事故,大叶公路进车亭公路东约2700米,2014-9-19 2:50:00
196,3101159201400394,死亡事故,外环高速西侧外环高速内侧长清路下匝道前约20米,2014-9-12 19:49:00
197,3101177201400111,死亡事故,佘北公路桃源路北约80米,2014-8-13 3:00:00
198,3101087201400029,伤人事故,西藏北路进南山路南约10米,2014-8-17 19:58:00
199,3101135201400137,死亡事故,殷高西路高境路西约1米,2014-8-9 5:05:00
200,3101201201400136,死亡事故,新四平公路海杰路东约200米,2014-10-10 21:00:00
201,3101151201400505,死亡事故,杨高北路进胶东路北约80米,2014-11-14 20:02:00
202,3101171201400108,死亡事故,沈海高速东侧沈海高速前约500米,2014-8-5 6:42:00
203,3101044201400051,死亡事故,肇嘉浜路大木桥路西约20米,2014-8-14 23:39:00
204,3101188201400394,死亡事故,青赵公路出曙光路北约200米,2014-8-5 7:43:00
205,3101158201400364,死亡事故,张杨北路航津路东约1米,2014-8-14 22:03:00
206,3101141201400121,死亡事故,伊宁路永盛路西约100米,2014-9-10 6:42:00
207,3101160201400075,死亡事故,金张公路进建乐路南约10米,2014-8-28 15:30:00
208,3101157201400352,死亡事故,老芦公路两港大道西北约5米,2014-8-8 9:52:00
209,3102303201400119,死亡事故,三沙洪路出人民路北约30米,2014-10-24 7:27:00
210,3101146201400111,死亡事故,嘉安公路回城西路南约10米,2014-8-24 17:51:00
211,3101177201400100,死亡事故,沈海高速西侧1295km约900米,2014-7-25 1:50:00
212,3101206201400092,死亡事故,团青公路奉村路东约2米,2014-7-25 4:05:00
213,3101149201400133,死亡事故,宝安公路嘉松北路西约5米,2014-10-14 10:01:00
214,3101080201400025,伤人事故,恒丰路天目西路北约1米,2014-7-28 10:15:00
215,3101155201400329,死亡事故,华夏高架路东侧BWP0280约1米,2014-7-27 8:05:00
216,3101156201400358,死亡事故,沪南公路上南路东约20米,2014-8-11 23:20:00
217,3101129201400260,伤人事故,七莘路华茂路北约100米,2014-10-23 22:37:00
218,3101124201400256,伤人事故,剑川路老中春路北约2米,2014-10-22 15:12:00
219,3101178201400136,死亡事故,文翔路进辰塔路西约300米,2014-9-23 6:50:00
220,3101150201400354,死亡事故,浦东北路大同路西北约10米,2014-8-11 9:35:00
221,3101125201400188,死亡事故,剑川路出金平路西约10米,2014-7-29 21:05:00
222,3101158201400330,死亡事故,老芦公路进三三公路南约100米,2014-7-28 4:25:00
223,3101043201400057,死亡事故,沪闵路虹梅路东北约10米,2014-9-4 6:26:00
224,3101159201400474,死亡事故,华东路进华夏东路北约600米,2014-10-29 11:50:00
225,3101156201400307,死亡事故,华夏中路金科路东约1米,2014-7-11 20:43:00
226,3101127201400249,死亡事故,莲花南路银都路北约300米,2014-10-14 10:35:00
227,3101123201400187,死亡事故,中春路进黎安路南约1000米,2014-7-27 0:32:00
228,3101134201400153,死亡事故,富锦路出同济路西约500米,2014-9-20 16:10:00
229,3101153201400396,死亡事故,沪城环路出大学城共享区道路北约200米,2014-9-14 17:25:00
230,3101158201400386,死亡事故,世纪大道进东方路西约100米,2014-9-7 20:55:00
231,3101170201400138,死亡事故,叶新公路进文工路东约50米,2014-10-2 8:35:00
232,3101125201400220,伤人事故,沪闵路元江路北约120米,2014-9-16 12:44:00
233,3101171201400123,死亡事故,张庄公路塔闵公路北约3000米,2014-9-2 15:05:00
234,3101048201400065,死亡事故,罗秀路进虹梅南路(西)东约60米,2014-9-27 0:02:00
235,3101144201400139,死亡事故,宝钱公路嘉唐公路东约2000米,2014-10-29 8:26:00
236,3101183201400524,死亡事故,华徐公路进盈港东路南约200米,2014-12-8 14:34:00
237,3101157201400533,死亡事故,申江路进高科中路北约50米,2014-12-2 15:40:00
238,3101071201400072,伤人事故,光复西路进大渡河路(西)东约60米,2014-8-22 12:00:00
239,3101129201400198,伤人事故,陈行公路苏召路西约0米,2014-8-16 16:59:00
240,3102211201400012,伤人事故,东海大桥进沪K11约0米,2014-7-21 23:10:00
241,3101109201400054,死亡事故,包头路进嫩江路北约230米,2014-11-30 19:48:00
242,3101084201400026,伤人事故,老沪太路进沪太路东约100米,2014-8-2 5:04:00
243,3101185201400374,死亡事故,沪渝高速北侧50km约600米,2014-7-22 1:50:00
244,3101178201400114,伤人事故,莘松路场东路西约5米,2014-8-13 10:46:00
245,3102250201400007,死亡事故,北进场路浦东机场北立交东约0米,2014-7-21 1:10:00
246,3101156201400409,死亡事故,国展路进云台路东约70米,2014-9-19 9:57:00
247,3101172201500009,死亡事故,沈海高速东侧1307km约400米,2015-1-9 19:20:00
248,3101126201400206,死亡事故,申嘉湖高速北侧34km约500米,2014-8-29 22:00:00
249,3101067201400024,伤人事故,余姚路延平路南约3米,2014-7-5 15:10:00
250,3101128201400212,伤人事故,宜山路进古美路东约60米,2014-9-4 20:04:00
251,3101174201400129,死亡事故,人民北路出辰花路南约150米,2014-9-14 15:40:00
252,3101136201400143,死亡事故,友谊路进江杨北路西约1958米,2014-8-22 17:15:00
253,3101188201400375,死亡事故,沪渝高速北侧50km约700米,2014-7-22 4:40:00
254,3101127201400216,伤人事故,北松公路进中青路东约200米,2014-9-12 10:28:00
255,3101130201400134,死亡事故,共康东路岭南路路口,2014-8-1 1:30:00
256,3101154201400518,死亡事故,金葵路出金粤路东约150米,2014-11-22 20:44:00
257,3101134201400141,死亡事故,双城路进宝东路西约200米,2014-8-14 22:10:00
258,3101187201400461,死亡事故,前云路出沪青平公路南约1600米,2014-9-25 4:57:00
259,3101151201400510,死亡事故,上海绕城高速外侧48.5km约20米,2014-11-20 0:50:00
260,3101159201400416,死亡事故,高科东路出华东路东约800米,2014-9-23 21:09:00
261,3102305201400079,死亡事故,向堡公路进合五公路东约400米,2014-7-23 9:20:00
262,3101145201400093,死亡事故,浏翔公路宝钱公路东约1米,2014-7-9 8:15:00
263,3101175201400105,死亡事故,沈砖公路出城隆路东约300米,2014-7-31 19:20:00
264,3101054201400026,死亡事故,中山西路虹桥路东北约15米,2014-8-22 11:01:00
265,3101188201400451,死亡事故,纪鹤公路进宝丰路东约10米,2014-9-16 15:35:00
266,3101136201400152,死亡事故,长江路进军工路西约50米,2014-9-16 9:18:00
267,3101124201400292,伤人事故,元江路龙吴路西北约0米,2014-11-26 13:58:00
268,3101055201400032,死亡事故,古北路延安西路西南约20米,2014-10-30 11:02:00
269,3101124201400182,伤人事故,林海公路东佳路南约3000米,2014-7-27 10:42:00
270,3101135201400199,死亡事故,虎林路进呼兰路南约200米,2014-11-22 8:15:00
271,3101083201400039,伤人事故,共和新路柳营路北约5米,2014-10-16 7:40:00
272,3101079201400083,死亡事故,凯旋北路进盘湾里西约50米,2014-9-19 9:45:00
273,3101157201400395,死亡事故,沪南公路进航南公路北约400米,2014-9-12 18:23:00
274,3101019201400031,死亡事故,金陵西路淡水路东约8米,2014-11-21 11:00:00
275,3101126201400218,伤人事故,三鲁公路进东方一路北约300米,2014-9-15 8:20:00
276,3101128201400228,伤人事故,航南路进航东路西约20米,2014-9-23 18:30:00
277,3101126201400243,死亡事故,古美路平南路北约0米,2014-10-8 8:25:00
278,3101081201400033,死亡事故,共和新路进汾西路南约10米,2014-9-4 7:45:00
279,3101128201400286,伤人事故,沪青平公路华翔路西北约15米,2014-11-17 19:02:00
280,3101124201400177,死亡事故,七莘路进中谊路南约200米,2014-7-21 19:56:00
281,3101121201400246,伤人事故,北松公路出中春路东约400米,2014-10-12 18:20:00
282,3101153201400367,死亡事故,浦东南路进洪山路东约1米,2014-8-21 10:02:00
283,3101051201500010,死亡事故,遵义路进天山路北约80米,2015-4-7 10:07:00
284,3101081201400038,死亡事故,保德路阳曲路东约1米,2014-10-11 8:00:00
285,3101042201400073,伤人事故,漕溪北路蒲汇塘路南约30米,2014-11-24 0:52:00
286,3101174201400095,死亡事故,叶兴公路出叶政路南约2KM,2014-7-15 11:15:00
287,3101121201400265,伤人事故,莘建东路出广贤路西约50米,2014-10-27 9:19:00
288,3101019201400023,死亡事故,徐家汇路顺昌路西约0米,2014-9-4 11:30:00
289,3101170201400128,伤人事故,古楼公路出刘五公路西约10米,2014-9-11 5:40:00
290,3101151201400487,死亡事故,两港大道(南北)出沪南公路南约500米,2014-11-3 23:35:00
291,3101180201400382,死亡事故,盈淀路进青赵公路西约80米,2014-7-27 13:30:00
292,3101140201400131,死亡事故,京沪高速公路（上海段）往南京方向1211KM+800M,2014-9-27 14:10:00
293,3101127201400200,死亡事故,中春路沪松公路西约5米,2014-8-18 6:03:00
294,3101152201400350,死亡事故,上海绕城高速内侧50.3km约30米,2014-8-5 21:20:00
295,3101161201500009,死亡事故,朱吕公路进朱平公路东约1米,2015-1-20 20:46:00
296,3101078201400082,死亡事故,桃浦路真光路西约2米,2014-9-18 9:42:00
297,3101152201400413,死亡事故,沪南公路建豪路东约20米,2014-9-21 11:05:00
298,3101123201400303,死亡事故,召泰路出鲁南路南约10米,2014-12-11 13:16:00
299,3101136201400149,伤人事故,沪太路联白路东约1米,2014-9-7 13:01:00
300,3101041201400044,死亡事故,虹漕路进漕宝路南约300米,2014-7-6 18:28:00
301,3101078201400077,死亡事故,桃浦路进双河路西约50米,2014-8-30 17:08:00
302,3101204201400103,死亡事故,泰青公路东侧3km约200米,2014-8-15 11:20:00
303,3101186201400463,死亡事故,沪青平公路出嘉松中路西约30米,2014-9-29 8:00:00
304,3101171201400184,伤人事故,沪松公路涞亭南路南约20米,2014-12-2 14:58:00
305,3101100201400055,死亡事故,军工路港水路北约1米,2014-12-15 13:10:00
306,3101173201400094,伤人事故,古楼公路出横港公路西约250米,2014-7-14 18:08:00
307,3101129201400174,死亡事故,莲花南路澄江路东约5米,2014-7-18 15:25:00
308,3101172201400133,死亡事故,申嘉湖高速南侧53公里km约200米,2014-9-19 10:00:00
309,3101143201500002,死亡事故,宝钱公路安新路南约1米,2015-1-2 13:46:00
310,3101129201400252,伤人事故,中春路光中路北约00米,2014-10-17 23:13:00
311,3101184201400507,死亡事故,陈章路出华重公路北约400米,2014-11-20 22:30:00
312,3101067201400032,死亡事故,长乐路襄阳北路西约7米,2014-9-4 13:44:00
313,3101178201400113,死亡事故,北松公路出李高路西约50米,2014-7-31 14:16:00
314,3101133201400129,伤人事故,沪太公路曹新公路东约1米,2014-7-28 20:12:00
315,3101164201400088,死亡事故,亭枫公路松金公路东约10米,2014-9-24 5:20:00
316,3101129201400231,伤人事故,中谊路出七莘路西约70米,2014-9-26 18:56:00
317,3101089201400037,死亡事故,共和新路洛川东路南约1米,2014-10-4 9:20:00
318,3101017201400027,死亡事故,肇嘉浜路进瑞金南路西约30米,2014-10-24 8:50:00
319,3101134201400170,死亡事故,城银路园康路东约1米,2014-10-14 10:39:00
320,3101177201400137,死亡事故,泗陈公路方泗公路北约5米,2014-9-30 17:20:00
321,3101178201400119,伤人事故,莘松路进场西路西约60米,2014-8-25 6:32:00
322,3101187201400489,死亡事故,嘉松中路华志路北约5米,2014-11-1 5:11:00
323,3101135201400135,死亡事故,潘泾路进宝安公路南约500米,2014-8-6 6:38:00
324,3101181201400448,死亡事故,新胜路出友爱路北约1000米,2014-9-13 7:10:00
325,3101130201400128,死亡事故,月罗公路抚远路东约1米,2014-7-27 16:12:00
326,3101151201400366,死亡事故,大川公路进拱为路北约500米,2014-8-20 19:25:00
