车ID,报警,空车,顶灯状态,高架,刹车,接收时间,GPS测定时间,经度,纬度,速度,方向
00036,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:26,121.353468,31.158110,0.0,337.0
00036,0,1,1,0,0,2015-04-01 00:59:22,2015-04-01 00:59:16,121.353468,31.158110,0.0,337.0
00036,0,1,1,0,0,2015-04-01 00:59:41,2015-04-01 00:59:36,121.353468,31.158110,0.0,337.0
00036,0,1,1,0,0,2015-04-01 00:59:52,2015-04-01 00:59:46,121.353473,31.158117,0.0,337.0
00036,0,1,1,0,0,2015-04-01 00:59:11,2015-04-01 00:59:06,121.353468,31.158110,0.0,337.0
00036,0,1,1,0,0,2015-04-01 00:59:02,2015-04-01 00:58:56,121.353468,31.158110,0.0,337.0
00037,0,1,1,0,0,2015-04-01 00:59:06,2015-04-01 00:59:01,121.491357,31.128477,0.0,52.0
00037,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:21,121.491357,31.128477,0.0,52.0
00037,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:41,121.491360,31.128482,0.0,52.0
00037,0,1,1,0,0,2015-04-01 00:59:16,2015-04-01 00:59:11,121.491357,31.128477,0.0,52.0
00037,0,1,1,0,0,2015-04-01 00:59:56,2015-04-01 00:59:51,121.491360,31.128482,0.0,52.0
00037,0,1,1,0,0,2015-04-01 00:59:37,2015-04-01 00:59:31,121.491357,31.128477,0.0,52.0
00038,0,1,1,0,0,2015-04-01 00:59:17,2015-04-01 00:59:11,121.536270,31.057827,0.0,326.0
00038,0,1,1,0,0,2015-04-01 00:59:37,2015-04-01 00:59:31,121.536270,31.057827,0.0,326.0
00038,0,1,1,0,0,2015-04-01 00:59:07,2015-04-01 00:59:01,121.536270,31.057827,0.0,326.0
00038,0,1,1,0,0,2015-04-01 00:59:28,2015-04-01 00:59:21,121.536270,31.057827,0.0,326.0
00038,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:41,121.536270,31.057827,0.0,326.0
00040,0,1,1,0,0,2015-04-01 00:59:13,2015-04-01 00:59:07,121.370550,31.224787,0.0,209.0
00040,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:47,121.370550,31.224787,0.0,209.0
00040,0,1,1,0,0,2015-04-01 00:59:33,2015-04-01 00:59:27,121.370550,31.224787,0.0,209.0
00040,0,1,1,0,0,2015-04-01 00:59:23,2015-04-01 00:59:17,121.370550,31.224787,0.0,209.0
00040,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:59:37,121.370550,31.224787,0.0,209.0
00040,0,1,1,0,0,2015-04-01 00:59:03,2015-04-01 00:58:57,121.370550,31.224790,0.0,209.0
00046,0,0,0,0,0,2015-04-01 00:59:58,2015-04-01 00:59:53,121.441950,31.226977,0.0,274.0
00046,0,0,0,0,0,2015-04-01 00:59:28,2015-04-01 00:59:23,121.441948,31.226983,0.0,274.0
00046,0,0,0,0,0,2015-04-01 00:59:18,2015-04-01 00:59:13,121.441948,31.226983,0.0,274.0
00046,0,0,0,0,0,2015-04-01 00:59:08,2015-04-01 00:59:03,121.441948,31.226983,0.0,274.0
00046,0,0,0,0,0,2015-04-01 00:59:39,2015-04-01 00:59:33,121.441950,31.226977,0.0,274.0
00046,0,0,0,0,0,2015-04-01 00:59:49,2015-04-01 00:59:43,121.441950,31.226977,0.0,274.0
00048,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:59:37,121.489425,31.252733,0.0,131.0
00048,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:47,121.489423,31.252735,0.0,131.0
00048,0,1,1,0,0,2015-04-01 00:59:33,2015-04-01 00:59:27,121.489425,31.252733,0.0,137.0
00048,0,1,1,0,0,2015-04-01 00:59:23,2015-04-01 00:59:17,121.489425,31.252733,0.0,137.0
00048,0,1,1,0,0,2015-04-01 00:59:12,2015-04-01 00:59:07,121.489425,31.252733,0.0,137.0
00048,0,1,1,0,0,2015-04-01 00:59:03,2015-04-01 00:58:57,121.489425,31.252733,0.0,137.0
00049,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:21,121.303675,31.247958,0.0,256.0
00049,0,1,1,0,0,2015-04-01 00:59:06,2015-04-01 00:59:01,121.303675,31.247958,0.0,256.0
00049,0,1,1,0,0,2015-04-01 00:59:17,2015-04-01 00:59:11,121.303675,31.247958,0.0,256.0
00049,0,1,1,0,0,2015-04-01 00:59:37,2015-04-01 00:59:31,121.303678,31.247960,0.0,256.0
00049,0,1,1,0,0,2015-04-01 00:59:47,2015-04-01 00:59:41,121.303678,31.247960,0.0,256.0
00049,0,1,1,0,0,2015-04-01 00:59:57,2015-04-01 00:59:51,121.303678,31.247960,0.0,256.0
00051,0,1,2,0,0,2015-04-01 00:59:08,2015-04-01 00:59:02,120.943857,30.797453,79.0,44.0
00051,0,1,2,0,0,2015-04-01 00:59:20,2015-04-01 00:59:12,120.945430,30.798860,76.0,43.0
00053,0,1,1,0,0,2015-04-01 00:59:36,2015-04-01 00:59:30,121.278538,31.222360,0.0,224.0
00053,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:10,121.278538,31.222357,0.0,224.0
00053,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:58:50,121.278533,31.222353,0.0,224.0
00053,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:20,121.278537,31.222358,0.0,224.0
00053,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:00,121.278538,31.222353,0.0,224.0
00053,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:40,121.278540,31.222360,0.0,224.0
00057,0,0,0,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.520472,31.261898,0.0,341.0
00057,0,0,0,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.520472,31.261898,0.0,341.0
00057,0,0,0,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.520472,31.261898,0.0,341.0
00057,0,0,0,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.520482,31.261902,0.0,341.0
00057,0,0,0,0,0,2015-04-01 00:59:55,2015-04-01 00:59:49,121.520472,31.261898,0.0,341.0
00057,0,0,0,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.520472,31.261898,0.0,341.0
00058,0,1,1,0,0,2015-04-01 00:59:30,2015-04-01 00:59:25,121.447162,31.206848,0.0,306.0
00058,0,1,1,0,0,2015-04-01 00:59:40,2015-04-01 00:59:35,121.447162,31.206848,0.0,306.0
00058,0,1,1,0,0,2015-04-01 00:59:50,2015-04-01 00:59:45,121.447162,31.206848,0.0,306.0
00058,0,1,1,0,0,2015-04-01 00:59:10,2015-04-01 00:59:05,121.447162,31.206843,0.0,306.0
00058,0,1,1,0,0,2015-04-01 00:59:01,2015-04-01 00:58:55,121.447162,31.206843,0.0,306.0
00058,0,1,1,0,0,2015-04-01 00:59:20,2015-04-01 00:59:15,121.447162,31.206843,0.0,306.0
00064,0,1,1,0,0,2015-04-01 00:59:59,2015-04-01 00:59:53,121.359682,31.289038,0.0,223.0
00064,0,1,1,0,0,2015-04-01 00:59:49,2015-04-01 00:59:43,121.359683,31.289042,0.0,223.0
00064,0,1,1,0,0,2015-04-01 00:59:39,2015-04-01 00:59:33,121.359685,31.289048,0.0,223.0
00064,0,1,1,0,0,2015-04-01 00:59:29,2015-04-01 00:59:23,121.359685,31.289053,0.0,223.0
00064,0,1,1,0,0,2015-04-01 00:59:19,2015-04-01 00:59:13,121.359688,31.289057,0.0,223.0
00064,0,1,1,0,0,2015-04-01 00:59:09,2015-04-01 00:59:03,121.359690,31.289052,0.0,223.0
00066,0,1,1,0,0,2015-04-01 00:59:18,2015-04-01 00:59:12,121.420053,31.227617,0.0,218.0
00066,0,1,1,0,0,2015-04-01 00:59:28,2015-04-01 00:59:22,121.420053,31.227617,0.0,218.0
00066,0,1,1,0,0,2015-04-01 00:59:48,2015-04-01 00:59:42,121.420053,31.227617,0.0,218.0
00066,0,1,1,0,0,2015-04-01 00:59:59,2015-04-01 00:59:53,121.420053,31.227617,0.0,218.0
00066,0,1,1,0,0,2015-04-01 00:59:38,2015-04-01 00:59:32,121.420053,31.227617,0.0,218.0
00066,0,1,1,0,0,2015-04-01 00:59:08,2015-04-01 00:59:02,121.420053,31.227617,0.0,218.0
00067,0,0,0,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.470305,31.276035,0.0,151.0
00067,0,0,0,0,0,2015-04-01 00:59:14,2015-04-01 00:59:09,121.470305,31.276035,0.0,151.0
00067,0,0,0,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.470305,31.276035,0.0,151.0
00067,0,0,0,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.470305,31.276035,0.0,151.0
00067,0,0,0,0,0,2015-04-01 00:59:54,2015-04-01 00:59:49,121.470305,31.276030,0.0,151.0
00067,0,0,0,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.470305,31.276035,0.0,151.0
00068,0,1,1,0,0,2015-04-01 00:59:04,2015-04-01 00:58:58,121.360950,31.348985,23.0,151.0
00068,0,1,1,0,0,2015-04-01 00:59:14,2015-04-01 00:59:08,121.361400,31.348145,43.0,153.0
00068,0,1,1,0,0,2015-04-01 00:59:44,2015-04-01 00:59:38,121.363515,31.344667,32.0,152.0
00068,0,1,1,0,0,2015-04-01 00:59:34,2015-04-01 00:59:28,121.362857,31.345798,59.0,151.0
00068,0,1,1,0,0,2015-04-01 00:59:24,2015-04-01 00:59:18,121.362055,31.347045,52.0,151.0
00068,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:48,121.363688,31.344375,0.0,167.0
