"区域编号","时间","指数","分数","速度"
"01NHNYX_GH","2014-08-24 2:50:00","10.42","1.00","71.17"
"01NHWLB_YP","2014-08-24 2:50:00","11.13","0.93","70.23"
"01WHNHX_WZ","2014-08-24 2:50:00","16.30","0.45","65.47"
"01NHNGH_YP","2014-08-24 2:50:00","32.18","1.00","50.33"
"01NHNYP_LB","2014-08-24 2:50:00","13.63","0.90","67.39"
"01YXDDB_WH","2014-08-24 2:50:00","56.66","0.92","32.37"
"01ZHNXX_GH","2014-08-24 2:50:00","31.41","0.93","55.57"
"01NHNLB_YX","2014-08-24 2:50:00","25.50","0.99","59.18"
"01WHWWZ_HX","2014-08-24 2:50:00","22.49","0.24","59.62"
"01YABYD_HQ","2014-08-24 2:50:00","9.89","1.00","71.39"
"01ZHWXX_JY","2014-08-24 2:50:00","18.50","0.84","66.62"
"01HMDXZ_CX","2014-08-24 2:50:00","15.90","0.92","65.51"
"01NBXGH_LB","2014-08-24 2:50:00","12.00","1.00","69.66"
"01WHNHJ_TJ","2014-08-24 2:50:00","17.66","0.60","64.84"
"01WHNJY_HY","2014-08-24 2:50:00","10.05","0.80","72.11"
"01WHWHY_JY","2014-08-24 2:50:00","8.92","0.96","73.16"
"01WHWWZ_TJ","2014-08-24 2:50:00","32.20","0.91","53.19"
"01WZBWZ_XY","2014-08-24 2:50:00","11.87","0.32","72.66"
"01ZHWJG_GH","2014-08-24 2:50:00","34.10","0.89","54.72"
"01NBXYC_GH","2014-08-24 2:50:00","15.36","0.92","69.88"
"01NHWGH_YX","2014-08-24 2:50:00","13.93","1.00","68.00"
"01WHNHX_JY","2014-08-24 2:50:00","5.75","0.30","80.09"
"01YXXWH_DB","2014-08-24 2:50:00","50.88","0.52","38.95"
"01ZHNJY_XX","2014-08-24 2:50:00","19.94","0.85","63.92"
"01ZHWJY_SJ","2014-08-24 2:50:00","9.46","0.78","73.91"
"total","2014-08-24 2:50:00","20.09","0.81","63.89"
"01HMXCX_XZ","2014-08-24 2:50:00","26.28","1.00","55.61"
"01NBDJY_LB","2014-08-24 2:50:00","16.66","0.92","66.57"
"01NBXLB_JY","2014-08-24 2:50:00","11.31","0.99","70.33"
"01NHWYP_GH","2014-08-24 2:50:00","16.25","1.00","66.61"
"01WHNTJ_WZ","2014-08-24 2:50:00","34.47","0.86","52.34"
"01WHWTJ_HJ","2014-08-24 2:50:00","24.10","0.48","62.52"
"01WZNXY_WZ","2014-08-24 2:50:00","10.89","0.35","72.72"
"01ZHNGH_JG","2014-08-24 2:50:00","51.24","0.81","37.28"
"01ZHNSJ_JY","2014-08-24 2:50:00","10.85","0.89","73.38"
"01WHNHY_HJ","2014-08-24 2:50:00","7.19","0.99","73.59"
"01WHWHJ_HY","2014-08-24 2:50:00","30.88","0.24","57.44"
"01WHWJY_HX","2014-08-24 2:50:00","5.76","0.64","74.68"
"01YANHQ_YD","2014-08-24 2:50:00","11.78","1.00","70.43"
"01ZHWGH_XX","2014-08-24 2:50:00","32.09","0.82","57.56"
"01NBDLB_GH","2014-08-24 2:50:00","12.48","1.00","69.45"
"01NHWYX_LB","2014-08-24 2:50:00","24.44","1.00","61.05"
"01NHWYX_LB","2014-08-15 19:30:00","57.31","1.00","35.67"
"01YXXWH_DB","2014-08-15 22:30:00","16.69","1.00","62.65"
"01ZHNJY_XX","2014-08-15 22:30:00","17.02","1.00","66.24"
"01ZHWJY_SJ","2014-08-15 22:30:00","6.55","0.99","75.89"
"total","2014-08-15 22:30:00","22.03","0.97","61.59"
"01HMXCX_XZ","2014-08-15 22:30:00","24.54","1.00","58.83"
"01NBDJY_LB","2014-08-15 22:30:00","18.61","1.00","63.13"
"01NBXLB_JY","2014-08-15 22:30:00","22.43","1.00","60.47"
"01NHWYP_GH","2014-08-15 22:30:00","18.05","1.00","63.26"
"01WHNTJ_WZ","2014-08-15 22:30:00","40.21","1.00","47.32"
"01WHWTJ_HJ","2014-08-15 22:30:00","22.50","0.86","62.47"
"01WZNXY_WZ","2014-08-15 22:30:00","15.53","1.00","69.17"
"01ZHNGH_JG","2014-08-15 22:30:00","15.86","0.92","66.99"
"01ZHNSJ_JY","2014-08-15 22:30:00","6.43","1.00","75.62"
"01WHNHY_HJ","2014-08-15 22:30:00","13.81","1.00","67.82"
"01WHWHJ_HY","2014-08-15 22:30:00","17.66","0.91","64.10"
"01WHWJY_HX","2014-08-15 22:30:00","10.47","0.69","71.34"
"01YANHQ_YD","2014-08-15 22:30:00","36.43","1.00","52.12"
"01ZHWGH_XX","2014-08-15 22:30:00","13.53","1.00","69.11"
"01NBDLB_GH","2014-08-15 22:30:00","60.54","1.00","32.27"
"01NHWYX_LB","2014-08-15 22:30:00","31.41","1.00","54.34"
"01NBDGH_YC","2014-08-15 19:30:00","29.05","0.99","54.66"
"01NHNYX_GH","2014-08-15 19:30:00","46.60","1.00","38.75"
"01NHWLB_YP","2014-08-15 19:30:00","21.42","1.00","62.37"
"01WHNHX_WZ","2014-08-15 19:30:00","38.63","0.99","49.69"
"01NHNGH_YP","2014-08-15 19:30:00","27.51","1.00","55.49"
"01NHNYP_LB","2014-08-15 19:30:00","20.94","1.00","62.27"
"01YXDDB_WH","2014-08-15 19:30:00","19.67","0.99","60.28"
"01ZHNXX_GH","2014-08-15 19:30:00","33.82","1.00","50.96"
"01NHNLB_YX","2014-08-15 19:30:00","48.84","1.00","39.92"
"01WHWWZ_HX","2014-08-15 19:30:00","24.06","0.86","60.56"
"01YABYD_HQ","2014-08-15 19:30:00","56.77","1.00","29.65"
"01ZHWXX_JY","2014-08-15 19:30:00","31.62","1.00","54.04"
"01HMDXZ_CX","2014-08-15 19:30:00","34.02","1.00","49.38"
"01NBXGH_LB","2014-08-15 19:30:00","47.84","1.00","38.30"
"01WHNHJ_TJ","2014-08-15 19:30:00","28.66","0.89","53.92"
"01WHNJY_HY","2014-08-15 19:30:00","41.01","0.95","45.61"
"01WHWHY_JY","2014-08-15 19:30:00","35.44","0.99","52.36"
"01WHWWZ_TJ","2014-08-15 19:30:00","42.60","1.00","47.68"
"01WZBWZ_XY","2014-08-15 19:30:00","26.55","0.99","56.07"
"01ZHWJG_GH","2014-08-15 19:30:00","21.34","0.94","61.67"
"01NBXYC_GH","2014-08-15 19:30:00","25.90","0.99","57.30"
"01NHWGH_YX","2014-08-15 19:30:00","25.14","1.00","59.01"
"01WHNHX_JY","2014-08-15 19:30:00","21.65","0.70","64.10"
"01YXXWH_DB","2014-08-15 19:30:00","19.37","1.00","59.65"
"01ZHNJY_XX","2014-08-15 19:30:00","33.62","1.00","51.75"
"01ZHWJY_SJ","2014-08-15 19:30:00","6.05","0.99","75.31"
"total","2014-08-15 19:30:00","32.29","0.97","52.96"
"01HMXCX_XZ","2014-08-15 19:30:00","37.25","1.00","48.10"
"01NBDJY_LB","2014-08-15 19:30:00","30.87","1.00","55.59"
"01NBXLB_JY","2014-08-15 19:30:00","34.41","0.99","49.91"
"01NHWYP_GH","2014-08-15 19:30:00","41.14","1.00","43.08"
"01WHNTJ_WZ","2014-08-15 19:30:00","39.71","1.00","47.80"
"01WHWTJ_HJ","2014-08-15 19:30:00","27.08","0.91","57.98"
"01WZNXY_WZ","2014-08-15 19:30:00","13.92","0.99","70.89"
"01ZHNGH_JG","2014-08-15 19:30:00","18.60","0.92","66.27"
"01ZHNSJ_JY","2014-08-15 19:30:00","7.58","0.99","73.27"
"01WHNHY_HJ","2014-08-15 19:30:00","51.36","0.99","39.30"
"01WHWHJ_HY","2014-08-15 19:30:00","43.19","0.91","45.49"
"01WHWJY_HX","2014-08-15 19:30:00","12.66","0.74","67.48"
"01YANHQ_YD","2014-08-15 19:30:00","58.85","1.00","31.19"
"01ZHWGH_XX","2014-08-15 19:30:00","18.96","1.00","64.92"
"01NBDLB_GH","2014-08-15 19:30:00","55.34","1.00","36.94"
"01NBDGH_YC","2014-08-01 0:10:00","19.92","1.00","64.42"
"01NHNYX_GH","2014-08-01 0:10:00","23.18","1.00","61.39"
"01NHWLB_YP","2014-08-01 0:10:00","14.33","1.00","67.41"
"01WHNHX_WZ","2014-08-01 0:10:00","20.82","0.80","63.33"
"01NHNGH_YP","2014-08-01 0:10:00","22.96","1.00","60.78"
"01NHNYP_LB","2014-08-01 0:10:00","13.91","1.00","68.69"
"01YXDDB_WH","2014-08-01 0:10:00","18.05","1.00","62.91"
"01ZHNXX_GH","2014-08-01 0:10:00","13.46","1.00","68.73"
"01NHNLB_YX","2014-08-01 0:10:00","20.95","1.00","62.41"
"01WHWWZ_HX","2014-08-01 0:10:00","17.59","0.90","67.13"
"01YABYD_HQ","2014-08-01 0:10:00","18.77","1.00","64.12"
"01ZHWXX_JY","2014-08-01 0:10:00","19.84","1.00","65.07"
"01HMDXZ_CX","2014-08-01 0:10:00","20.15","1.00","61.93"
"01NBXGH_LB","2014-08-01 0:10:00","21.51","1.00","61.95"
"01WHNHJ_TJ","2014-08-01 0:10:00","24.71","0.85","58.55"
"01WHNJY_HY","2014-08-01 0:10:00","14.64","0.73","67.74"
"01WHWHY_JY","2014-08-01 0:10:00","12.82","1.00","69.86"
"01WHWWZ_TJ","2014-08-01 0:10:00","35.39","1.00","51.19"
"01WZBWZ_XY","2014-08-01 0:10:00","9.84","0.87","73.67"
"01ZHWJG_GH","2014-08-01 0:10:00","19.45","0.98","63.47"
"01NBXYC_GH","2014-08-01 0:10:00","21.48","0.94","63.84"
"01NHWGH_YX","2014-08-01 0:10:00","16.13","1.00","66.22"
"01WHNHX_JY","2014-08-01 0:10:00","17.11","0.42","69.75"
"01NBDGH_YC","2014-08-01","20.71","1.00","63.64"
"01NHNYX_GH","2014-08-01","24.46","1.00","60.30"
"01NHWLB_YP","2014-08-01","13.94","1.00","67.79"
"01WHNHX_WZ","2014-08-01","21.67","0.79","62.61"
"01NHNGH_YP","2014-08-01","24.09","1.00","59.91"
"01NHNYP_LB","2014-08-01","14.50","1.00","68.11"
"01YXDDB_WH","2014-08-01","17.68","1.00","63.06"
"01ZHNXX_GH","2014-08-01","13.97","1.00","68.44"
"01NHNLB_YX","2014-08-01","21.94","1.00","61.48"
"01WHWWZ_HX","2014-08-01","17.66","0.89","66.27"
"01YABYD_HQ","2014-08-01","20.15","1.00","62.99"
"01ZHWXX_JY","2014-08-01","19.83","1.00","65.31"
"01HMDXZ_CX","2014-08-01","20.30","1.00","61.43"
"01NBXGH_LB","2014-08-01","23.07","1.00","60.77"
"01WHNHJ_TJ","2014-08-01","26.52","0.79","57.59"
"01WHNJY_HY","2014-08-01","15.09","0.82","67.21"
"01WHWHY_JY","2014-08-01","14.23","1.00","68.68"
"01WHWWZ_TJ","2014-08-01","35.44","1.00","51.07"
"01WZBWZ_XY","2014-08-01","7.90","0.75","75.03"
"01ZHWJG_GH","2014-08-01","18.21","0.91","64.42"
"01NBXYC_GH","2014-08-01","23.50","0.99","61.82"
"01NHWGH_YX","2014-08-01","17.80","1.00","64.78"
"01WHNHX_JY","2014-08-01","18.89","0.40","70.04"
"01YXXWH_DB","2014-08-01","15.98","1.00","64.16"
"01ZHNJY_XX","2014-08-01","16.53","1.00","67.04"
"01ZHWJY_SJ","2014-08-01","7.62","0.96","74.88"
"total","2014-08-01","19.62","0.94","63.84"
"01HMXCX_XZ","2014-08-01","16.46","1.00","64.07"
"01NBDJY_LB","2014-08-01","18.92","1.00","63.54"
"01NBXLB_JY","2014-08-01","18.07","1.00","64.67"
"01NHWYP_GH","2014-08-01","17.09","1.00","64.56"
"01WHNTJ_WZ","2014-08-01","45.19","1.00","43.43"
"01WHWTJ_HJ","2014-08-01","22.07","0.73","61.89"
"01WZNXY_WZ","2014-08-01","24.15","0.68","59.18"
"01ZHNGH_JG","2014-08-01","15.71","0.92","67.28"
"01ZHNSJ_JY","2014-08-01","7.20","1.00","76.07"
"01WHNHY_HJ","2014-08-01","22.83","1.00","60.63"
"01WHWHJ_HY","2014-08-01","29.62","0.86","55.69"
"01WHWJY_HX","2014-08-01","11.17","0.73","70.15"
"01YANHQ_YD","2014-08-01","21.65","1.00","61.99"
"01ZHWGH_XX","2014-08-01","13.93","1.00","68.77"
"01NBDLB_GH","2014-08-01","23.65","1.00","60.43"
"01NHWYX_LB","2014-08-01","24.58","1.00","59.96"
"01YXXWH_DB","2014-08-01 0:10:00","16.37","1.00","63.11"
"01ZHNJY_XX","2014-08-01 0:10:00","16.50","1.00","67.10"
"01ZHWJY_SJ","2014-08-01 0:10:00","7.47","0.95","75.02"
"total","2014-08-01 0:10:00","18.96","0.94","64.35"
"01HMXCX_XZ","2014-08-01 0:10:00","15.01","1.00","65.56"
"01NBDJY_LB","2014-08-01 0:10:00","18.80","1.00","63.76"
"01NBXLB_JY","2014-08-01 0:10:00","16.94","1.00","65.62"
"01NHWYP_GH","2014-08-01 0:10:00","16.80","1.00","64.92"
"01WHNTJ_WZ","2014-08-01 0:10:00","45.02","1.00","43.73"
"01WHWTJ_HJ","2014-08-01 0:10:00","22.59","0.73","61.64"
"01WZNXY_WZ","2014-08-01 0:10:00","22.74","0.68","59.67"
"01ZHNGH_JG","2014-08-01 0:10:00","14.91","0.92","67.55"
"01ZHNSJ_JY","2014-08-01 0:10:00","7.39","1.00","75.63"
"01WHNHY_HJ","2014-08-01 0:10:00","20.80","1.00","62.32"
"01WHWHJ_HY","2014-08-01 0:10:00","27.95","0.87","56.94"
"01WHWJY_HX","2014-08-01 0:10:00","10.22","0.75","71.17"
"01YANHQ_YD","2014-08-01 0:10:00","20.07","1.00","63.27"
"01ZHWGH_XX","2014-08-01 0:10:00","13.53","1.00","68.99"
"01NBDLB_GH","2014-08-01 0:10:00","22.76","1.00","61.16"
"01NHWYX_LB","2014-08-01 0:10:00","23.37","1.00","61.01"
"01YXXWH_DB","2014-08-07 20:10:00","20.80","1.00","59.45"
"01ZHNJY_XX","2014-08-07 20:10:00","22.27","1.00","63.07"
"01ZHWJY_SJ","2014-08-07 20:10:00","6.01","0.95","75.24"
"total","2014-08-07 20:10:00","26.33","0.97","58.22"
"01HMXCX_XZ","2014-08-07 20:10:00","31.84","1.00","53.80"
"01NBDJY_LB","2014-08-07 20:10:00","25.06","1.00","57.74"
"01NBXLB_JY","2014-08-07 20:10:00","30.67","1.00","54.24"
"01NHWYP_GH","2014-08-07 20:10:00","27.32","1.00","55.00"
"01WHNTJ_WZ","2014-08-07 20:10:00","40.35","1.00","47.38"
"01WHWTJ_HJ","2014-08-07 20:10:00","31.96","0.86","54.24"
"01WZNXY_WZ","2014-08-07 20:10:00","14.21","0.86","69.76"
"01ZHNGH_JG","2014-08-07 20:10:00","19.31","0.92","65.87"
"01ZHNSJ_JY","2014-08-07 20:10:00","6.94","1.00","74.46"
"01WHNHY_HJ","2014-08-07 20:10:00","29.43","1.00","55.71"
"01WHWHJ_HY","2014-08-07 20:10:00","23.41","0.89","59.90"
"01WHWJY_HX","2014-08-07 20:10:00","13.38","0.81","67.62"
"01YANHQ_YD","2014-08-07 20:10:00","32.78","1.00","53.43"
"01ZHWGH_XX","2014-08-07 20:10:00","17.55","1.00","66.16"
"01NBDLB_GH","2014-08-07 20:10:00","53.00","1.00","38.51"
"01NHWYX_LB","2014-08-07 20:10:00","45.34","1.00","46.45"
"01NBDGH_YC","2014-08-07 20:20:00","35.48","1.00","50.28"
"01NHNYX_GH","2014-08-07 20:20:00","37.56","1.00","47.97"
"01NHWLB_YP","2014-08-07 20:20:00","19.22","1.00","64.72"
"01WHNHX_WZ","2014-08-07 20:20:00","24.41","1.00","60.11"
"01NHNGH_YP","2014-08-07 20:20:00","26.81","1.00","57.55"
"01NHNYP_LB","2014-08-07 20:20:00","17.00","1.00","65.72"
"01YXDDB_WH","2014-08-07 20:20:00","20.71","1.00","60.12"
"01ZHNXX_GH","2014-08-07 20:20:00","15.17","1.00","67.89"
"01NHNLB_YX","2014-08-07 20:20:00","28.07","1.00","55.93"
"01WHWWZ_HX","2014-08-07 20:20:00","22.51","0.92","62.60"
"01YABYD_HQ","2014-08-07 20:20:00","35.30","1.00","50.78"
"01ZHWXX_JY","2014-08-07 20:20:00","21.01","1.00","63.89"
"01HMDXZ_CX","2014-08-07 20:20:00","25.56","1.00","55.70"
"01NBXGH_LB","2014-08-07 20:20:00","46.11","1.00","42.83"
"01WHNHJ_TJ","2014-08-07 20:20:00","26.89","0.87","55.52"
"01WHNJY_HY","2014-08-07 20:20:00","22.95","0.93","62.92"
"01WHWHY_JY","2014-08-07 20:20:00","19.35","0.99","64.91"
"01WHWWZ_TJ","2014-08-07 20:20:00","36.11","1.00","51.02"
"01WZBWZ_XY","2014-08-07 20:20:00","15.86","0.99","67.97"
"01ZHWJG_GH","2014-08-07 20:20:00","20.73","0.86","61.81"
"01NBXYC_GH","2014-08-07 20:20:00","26.06","0.92","58.00"
"01NHWGH_YX","2014-08-07 20:20:00","23.80","1.00","59.51"
"01WHNHX_JY","2014-08-07 20:20:00","14.74","0.66","65.38"
"01YXXWH_DB","2014-08-07 20:20:00","21.16","1.00","59.84"
"01ZHNJY_XX","2014-08-07 20:20:00","20.71","1.00","64.16"
"01ZHWJY_SJ","2014-08-07 20:20:00","5.93","0.95","75.50"
"total","2014-08-07 20:20:00","24.83","0.97","59.44"
"01HMXCX_XZ","2014-08-07 20:20:00","28.39","1.00","56.42"
"01NBDJY_LB","2014-08-07 20:20:00","23.49","1.00","59.12"
"01NBXLB_JY","2014-08-07 20:20:00","27.60","1.00","56.49"
"01NHWYP_GH","2014-08-07 20:20:00","25.13","1.00","57.19"
"01WHNTJ_WZ","2014-08-07 20:20:00","41.00","1.00","46.86"
"01WHWTJ_HJ","2014-08-07 20:20:00","29.79","0.88","55.82"
"01WZNXY_WZ","2014-08-07 20:20:00","13.78","0.80","70.05"
"01ZHNGH_JG","2014-08-07 20:20:00","17.89","0.92","67.06"
"01ZHNSJ_JY","2014-08-07 20:20:00","6.67","1.00","75.06"
"01WHNHY_HJ","2014-08-07 20:20:00","26.26","1.00","58.34"
"01WHWHJ_HY","2014-08-07 20:20:00","23.67","0.89","60.09"
"01WHWJY_HX","2014-08-07 20:20:00","11.66","0.77","68.87"
"01YANHQ_YD","2014-08-07 20:20:00","31.31","1.00","54.37"
"01ZHWGH_XX","2014-08-07 20:20:00","16.94","1.00","66.58"
"01NBDLB_GH","2014-08-07 20:20:00","49.40","1.00","42.07"
"01NHWYX_LB","2014-08-07 20:20:00","40.71","1.00","49.33"
"01NBDGH_YC","2014-08-07 20:30:00","33.67","1.00","51.85"
"01NHNYX_GH","2014-08-07 20:30:00","35.62","1.00","49.83"
"01NHWLB_YP","2014-08-07 20:30:00","18.25","1.00","65.26"
"01WHNHX_WZ","2014-08-07 20:30:00","25.18","0.98","59.30"
"01NHNGH_YP","2014-08-07 20:30:00","26.40","1.00","57.87"
"01NHNYP_LB","2014-08-07 20:30:00","16.34","1.00","66.28"
"01YXDDB_WH","2014-08-07 20:30:00","21.13","1.00","60.20"
"01ZHNXX_GH","2014-08-07 20:30:00","14.54","1.00","68.38"
"01NHNLB_YX","2014-08-07 20:30:00","26.59","1.00","57.00"
"01WHWWZ_HX","2014-08-07 20:30:00","21.21","0.92","63.80"
"01YABYD_HQ","2014-08-07 20:30:00","31.34","1.00","54.13"
"01ZHWXX_JY","2014-08-07 20:30:00","20.54","1.00","64.13"
"01HMDXZ_CX","2014-08-07 20:30:00","25.05","1.00","56.06"
"01NBXGH_LB","2014-08-07 20:30:00","42.29","1.00","45.62"
"01WHNHJ_TJ","2014-08-07 20:30:00","25.81","0.87","56.56"
"01WHNJY_HY","2014-08-07 20:30:00","22.43","0.93","63.43"
"01WHWHY_JY","2014-08-07 20:30:00","17.68","0.99","66.25"
"01WHWWZ_TJ","2014-08-07 20:30:00","37.50","1.00","49.80"
"01WZBWZ_XY","2014-08-07 20:30:00","14.59","0.92","68.96"
"01ZHWJG_GH","2014-08-07 20:30:00","19.95","0.86","62.14"
"01NBXYC_GH","2014-08-07 20:30:00","23.82","0.92","59.72"
"01NHWGH_YX","2014-08-07 20:30:00","23.57","1.00","59.72"
"01WHNHX_JY","2014-08-07 20:30:00","16.47","0.60","65.06"
"01YXXWH_DB","2014-08-07 20:30:00","20.25","1.00","61.24"
"01ZHNJY_XX","2014-08-07 20:30:00","19.53","1.00","65.02"
"01ZHWJY_SJ","2014-08-07 20:30:00","6.09","0.95","75.46"
"total","2014-08-07 20:30:00","23.74","0.96","60.32"
"01HMXCX_XZ","2014-08-07 20:30:00","25.62","1.00","58.18"
"01NBDJY_LB","2014-08-07 20:30:00","22.17","1.00","60.15"
"01NBXLB_JY","2014-08-07 20:30:00","25.91","1.00","57.58"
"01NHWYP_GH","2014-08-07 20:30:00","23.16","1.00","59.21"
"01WHNTJ_WZ","2014-08-07 20:30:00","41.64","1.00","46.38"
"01WHWTJ_HJ","2014-08-07 20:30:00","28.99","0.83","56.55"
"01WZNXY_WZ","2014-08-07 20:30:00","14.13","0.79","70.07"
"01ZHNGH_JG","2014-08-07 20:30:00","17.06","0.92","67.12"
"01ZHNSJ_JY","2014-08-07 20:30:00","6.79","1.00","75.14"
"01WHNHY_HJ","2014-08-07 20:30:00","24.62","1.00","59.98"
"01WHWHJ_HY","2014-08-07 20:30:00","23.82","0.89","60.42"
"01WHWJY_HX","2014-08-07 20:30:00","10.13","0.70","70.11"
"01YANHQ_YD","2014-08-07 20:30:00","30.10","1.00","55.14"
"01ZHWGH_XX","2014-08-07 20:30:00","16.60","1.00","66.66"
"01NBDLB_GH","2014-08-07 20:30:00","44.83","1.00","45.67"
"01NHWYX_LB","2014-08-07 20:30:00","35.77","1.00","52.18"
"01NBDGH_YC","2014-08-24 5:40:00","6.30","0.98","76.12"
"01NHNYX_GH","2014-08-24 5:40:00","4.90","1.00","75.26"
"01NHWLB_YP","2014-08-24 5:40:00","11.49","0.92","71.23"
"01WHNHX_WZ","2014-08-24 5:40:00","14.44","0.99","68.76"
