"区域名","区域编号","时间","指数"
"五官科医院","20XN_WGKYY0","2014-08-13 0:40:00","31.58"
"徐家汇","20XN_XJH00","2014-08-13 0:40:00","22.08"
"新天地","20XN_XTD000","2014-08-13 0:40:00","31.90"
"中山公园","20XN_ZSGY00","2014-08-13 0:40:00","27.00"
"大木桥","20XN_ZSYY00","2014-08-13 0:40:00","26.48"
"中远两湾城","20XN_ZYLWC0","2014-08-13 0:40:00","27.88"
"北新泾","20XW_BXJ000","2014-08-13 0:40:00","18.43"
"漕河泾","20XW_CHJ000","2014-08-13 0:40:00","24.17"
"共和新村","20XW_GHXC00","2014-08-13 0:40:00","23.93"
"江湾体育场","20XW_JWTYC0","2014-08-13 0:40:00","20.02"
"江湾镇","20XW_JWZC00","2014-08-13 0:40:00","23.62"
"龙柏","20XW_LB0000","2014-08-13 0:40:00","27.13"
"梅陇","20XW_ML0000","2014-08-13 0:40:00","27.89"
"祁连山路","20XW_QLSL00","2014-08-13 0:40:00","16.90"
"上海大学","20XW_SHDX00","2014-08-13 0:40:00","15.57"
"淞南","20XW_SN0000","2014-08-13 0:40:00","36.87"
"新江湾城","20XW_XJWC00","2014-08-13 0:40:00","21.18"
"殷行","20XW_YH0000","2014-08-13 0:40:00","19.95"
"张庙","20XW_ZM0000","2014-08-13 0:40:00","35.42"
"曹杨新村","20XZ_CY0000","2014-08-13 0:40:00","22.24"
"大场","20XZ_DC0000","2014-08-13 0:40:00","24.04"
"大宁","20XZ_DN0000","2014-08-13 0:40:00","22.33"
"古北","20XZ_GB0000","2014-08-13 0:40:00","24.44"
"华东理工","20XZ_HDLG00","2014-08-13 0:40:00","29.08"
"虹桥开发区","20XZ_HQKFQ0","2014-08-13 0:40:00","22.27"
"沪太","20XZ_HT0000","2014-08-13 0:40:00","24.69"
"龙华","20XZ_LH0000","2014-08-13 0:40:00","30.87"
"上海南站","20XZ_SHNZ00","2014-08-13 0:40:00","22.88"
"上海师大","20XZ_SHSD00","2014-08-13 0:40:00","28.80"
"上海西站","20XZ_SHXZ00","2014-08-13 0:40:00","22.16"
"田林","20XZ_TL0000","2014-08-13 0:40:00","27.97"
"五角场","20XZ_WJC000","2014-08-13 0:40:00","27.61"
"新华医院","20XZ_XHYY00","2014-08-13 0:40:00","27.54"
"延吉新村","20XZ_YJXC00","2014-08-13 0:40:00","25.85"
"杨树浦","20XZ_YSP000","2014-08-13 0:40:00","31.07"
"闸北公园","20XZ_ZBGY00","2014-08-13 0:40:00","26.45"
"total","total","2014-08-13 0:40:00","25.13"
"人民广场","20XN_RMGC00","2014-08-04 19:30:00","38.20"
"四川北路商圈","20XN_SCBLSQ","2014-08-04 19:30:00","40.05"
"上海火车站","20XN_SHHCZ0","2014-08-04 19:30:00","33.86"
"上海卷烟厂","20XN_SHJYC0","2014-08-04 19:30:00","31.84"
"上海影城","20XN_SHYC00","2014-08-04 19:30:00","40.56"
"十六铺","20XN_SLP000","2014-08-04 19:30:00","19.34"
"同济大学","20XN_TJDX00","2014-08-04 19:30:00","35.01"
"提蓝桥","20XN_TLQ000","2014-08-04 19:30:00","29.81"
"五官科医院","20XN_WGKYY0","2014-08-04 19:30:00","44.63"
"徐家汇","20XN_XJH00","2014-08-04 19:30:00","38.97"
"新天地","20XN_XTD000","2014-08-04 19:30:00","40.59"
"中山公园","20XN_ZSGY00","2014-08-04 19:30:00","42.49"
"大木桥","20XN_ZSYY00","2014-08-04 19:30:00","34.49"
"中远两湾城","20XN_ZYLWC0","2014-08-04 19:30:00","40.87"
"北新泾","20XW_BXJ000","2014-08-04 19:30:00","33.45"
"漕河泾","20XW_CHJ000","2014-08-04 19:30:00","37.96"
"共和新村","20XW_GHXC00","2014-08-04 19:30:00","35.54"
"江湾体育场","20XW_JWTYC0","2014-08-04 19:30:00","24.26"
"江湾镇","20XW_JWZC00","2014-08-04 19:30:00","32.18"
"龙柏","20XW_LB0000","2014-08-04 19:30:00","45.08"
"梅陇","20XW_ML0000","2014-08-04 19:30:00","33.63"
"祁连山路","20XW_QLSL00","2014-08-04 19:30:00","28.52"
"上海大学","20XW_SHDX00","2014-08-04 19:30:00","30.81"
"淞南","20XW_SN0000","2014-08-04 19:30:00","30.32"
"新江湾城","20XW_XJWC00","2014-08-04 19:30:00","15.18"
"殷行","20XW_YH0000","2014-08-04 19:30:00","26.62"
"张庙","20XW_ZM0000","2014-08-04 19:30:00","26.22"
"曹杨新村","20XZ_CY0000","2014-08-04 19:30:00","39.65"
"大场","20XZ_DC0000","2014-08-04 19:30:00","37.73"
"大宁","20XZ_DN0000","2014-08-04 19:30:00","23.20"
"古北","20XZ_GB0000","2014-08-04 19:30:00","38.78"
"华东理工","20XZ_HDLG00","2014-08-04 19:30:00","34.41"
"虹桥开发区","20XZ_HQKFQ0","2014-08-04 19:30:00","38.58"
"沪太","20XZ_HT0000","2014-08-04 19:30:00","36.13"
"龙华","20XZ_LH0000","2014-08-04 19:30:00","30.86"
"花木","20DN_HM0000","2014-08-17 0:10:00","20.23"
"陆家嘴","20DN_LJZ000","2014-08-17 0:10:00","21.64"
"南码头","20DN_NMT000","2014-08-17 0:10:00","24.90"
"源深体育中心","20DN_YSTYZX","2014-08-17 0:10:00","23.53"
"金桥","20DW_JQ0000","2014-08-17 0:10:00","23.00"
"金杨","20DW_JY0000","2014-08-17 0:10:00","27.61"
"外高桥","20DW_WGQ000","2014-08-17 0:10:00","29.81"
"北蔡","20DZ_BC0000","2014-08-17 0:10:00","20.90"
"上钢新村","20DZ_SGXC00","2014-08-17 0:10:00","34.13"
"三林","20DZ_SL0000","2014-08-17 0:10:00","25.41"
"张江","20DZ_ZJ0000","2014-08-17 0:10:00","15.21"
"周家渡","20DZ_ZJD000","2014-08-17 0:10:00","28.88"
"城隍庙","20XN_CHM000","2014-08-17 0:10:00","21.62"
"曹家渡","20XN_CJD000","2014-08-17 0:10:00","29.13"
"大柏树","20XN_DBS000","2014-08-17 0:10:00","25.66"
"第九人民医院","20XN_DJRMYY","2014-08-17 0:10:00","22.85"
"打浦桥","20XN_DPQ000","2014-08-17 0:10:00","20.83"
"虹口足球场","20XN_HKZQC0","2014-08-17 0:10:00","21.94"
"静安寺","20XN_JAS000","2014-08-17 0:10:00","31.57"
"老北站","20XN_LBZ000","2014-08-17 0:10:00","21.81"
"梅陇镇","20XN_MLZ000","2014-08-17 0:10:00","28.78"
"南京路商圈","20XN_NJLSQ0","2014-08-17 0:10:00","28.07"
"瑞虹新城","20XN_RHXC00","2014-08-17 0:10:00","23.97"
"瑞金医院","20XN_RJYY00","2014-08-17 0:10:00","31.94"
"人民广场","20XN_RMGC00","2014-08-17 0:10:00","28.22"
"四川北路商圈","20XN_SCBLSQ","2014-08-17 0:10:00","25.82"
"上海火车站","20XN_SHHCZ0","2014-08-17 0:10:00","22.81"
"上海卷烟厂","20XN_SHJYC0","2014-08-17 0:10:00","23.73"
"上海影城","20XN_SHYC00","2014-08-17 0:10:00","28.54"
"十六铺","20XN_SLP000","2014-08-17 0:10:00","23.56"
"同济大学","20XN_TJDX00","2014-08-17 0:10:00","24.43"
"提蓝桥","20XN_TLQ000","2014-08-17 0:10:00","20.07"
"五官科医院","20XN_WGKYY0","2014-08-17 0:10:00","33.26"
"徐家汇","20XN_XJH00","2014-08-17 0:10:00","21.66"
"新天地","20XN_XTD000","2014-08-17 0:10:00","29.47"
"中山公园","20XN_ZSGY00","2014-08-17 0:10:00","26.81"
"大木桥","20XN_ZSYY00","2014-08-17 0:10:00","27.82"
"中远两湾城","20XN_ZYLWC0","2014-08-17 0:10:00","25.73"
"北新泾","20XW_BXJ000","2014-08-17 0:10:00","22.66"
"漕河泾","20XW_CHJ000","2014-08-17 0:10:00","24.41"
"共和新村","20XW_GHXC00","2014-08-17 0:10:00","22.99"
"江湾体育场","20XW_JWTYC0","2014-08-17 0:10:00","22.16"
"江湾镇","20XW_JWZC00","2014-08-17 0:10:00","19.58"
"龙柏","20XW_LB0000","2014-08-17 0:10:00","27.05"
"沪太","20XZ_HT0000","2014-08-17 10:20:00","35.43"
"龙华","20XZ_LH0000","2014-08-17 10:20:00","30.47"
"上海南站","20XZ_SHNZ00","2014-08-17 10:20:00","33.24"
"上海师大","20XZ_SHSD00","2014-08-17 10:20:00","30.69"
"上海西站","20XZ_SHXZ00","2014-08-17 10:20:00","32.61"
"田林","20XZ_TL0000","2014-08-17 10:20:00","39.19"
"五角场","20XZ_WJC000","2014-08-17 10:20:00","32.66"
"新华医院","20XZ_XHYY00","2014-08-17 10:20:00","39.33"
"延吉新村","20XZ_YJXC00","2014-08-17 10:20:00","29.89"
"杨树浦","20XZ_YSP000","2014-08-17 10:20:00","29.84"
"闸北公园","20XZ_ZBGY00","2014-08-17 10:20:00","37.28"
"total","total","2014-08-17 10:20:00","31.68"
"花木","20DN_HM0000","2014-08-21 17:00:00","24.83"
"陆家嘴","20DN_LJZ000","2014-08-21 17:00:00","33.77"
"南码头","20DN_NMT000","2014-08-21 17:00:00","31.53"
"源深体育中心","20DN_YSTYZX","2014-08-21 17:00:00","27.90"
"金桥","20DW_JQ0000","2014-08-21 17:00:00","27.75"
"金杨","20DW_JY0000","2014-08-21 17:00:00","29.37"
"外高桥","20DW_WGQ000","2014-08-21 17:00:00","33.95"
"北蔡","20DZ_BC0000","2014-08-21 17:00:00","21.63"
"上钢新村","20DZ_SGXC00","2014-08-21 17:00:00","26.09"
"三林","20DZ_SL0000","2014-08-21 17:00:00","28.52"
"张江","20DZ_ZJ0000","2014-08-21 17:00:00","22.77"
"周家渡","20DZ_ZJD000","2014-08-21 17:00:00","32.84"
"城隍庙","20XN_CHM000","2014-08-21 17:00:00","36.77"
"城隍庙","20XN_CHM000","2014-08-22 21:50:00","24.16"
"曹家渡","20XN_CJD000","2014-08-22 21:50:00","31.92"
"大柏树","20XN_DBS000","2014-08-22 21:50:00","29.77"
"第九人民医院","20XN_DJRMYY","2014-08-22 21:50:00","22.09"
"打浦桥","20XN_DPQ000","2014-08-22 21:50:00","28.93"
"虹口足球场","20XN_HKZQC0","2014-08-22 21:50:00","32.96"
"静安寺","20XN_JAS000","2014-08-22 21:50:00","38.72"
"老北站","20XN_LBZ000","2014-08-22 21:50:00","27.82"
"梅陇镇","20XN_MLZ000","2014-08-22 21:50:00","43.37"
"南京路商圈","20XN_NJLSQ0","2014-08-22 21:50:00","41.29"
"瑞虹新城","20XN_RHXC00","2014-08-22 21:50:00","29.14"
"瑞金医院","20XN_RJYY00","2014-08-22 21:50:00","42.00"
"人民广场","20XN_RMGC00","2014-08-22 21:50:00","44.92"
"四川北路商圈","20XN_SCBLSQ","2014-08-22 21:50:00","31.57"
"上海火车站","20XN_SHHCZ0","2014-08-22 21:50:00","31.92"
"上海卷烟厂","20XN_SHJYC0","2014-08-22 21:50:00","25.94"
"上海影城","20XN_SHYC00","2014-08-22 21:50:00","36.44"
"十六铺","20XN_SLP000","2014-08-22 21:50:00","16.29"
"同济大学","20XN_TJDX00","2014-08-22 21:50:00","28.18"
"提蓝桥","20XN_TLQ000","2014-08-22 21:50:00","24.80"
"五官科医院","20XN_WGKYY0","2014-08-22 21:50:00","42.52"
"徐家汇","20XN_XJH00","2014-08-22 21:50:00","32.24"
"新天地","20XN_XTD000","2014-08-22 21:50:00","40.66"
"中山公园","20XN_ZSGY00","2014-08-22 21:50:00","34.21"
"大木桥","20XN_ZSYY00","2014-08-22 21:50:00","27.94"
"中远两湾城","20XN_ZYLWC0","2014-08-22 21:50:00","33.83"
"北新泾","20XW_BXJ000","2014-08-22 21:50:00","27.34"
"漕河泾","20XW_CHJ000","2014-08-22 21:50:00","31.15"
"共和新村","20XW_GHXC00","2014-08-22 21:50:00","32.06"
"江湾体育场","20XW_JWTYC0","2014-08-22 21:50:00","21.34"
"江湾镇","20XW_JWZC00","2014-08-22 21:50:00","24.57"
"龙柏","20XW_LB0000","2014-08-22 21:50:00","38.30"
"梅陇","20XW_ML0000","2014-08-22 21:50:00","27.40"
"祁连山路","20XW_QLSL00","2014-08-22 21:50:00","21.26"
"上海大学","20XW_SHDX00","2014-08-22 21:50:00","27.37"
"淞南","20XW_SN0000","2014-08-22 21:50:00","30.77"
"新江湾城","20XW_XJWC00","2014-08-22 21:50:00","11.43"
"殷行","20XW_YH0000","2014-08-22 21:50:00","22.47"
"张庙","20XW_ZM0000","2014-08-22 21:50:00","31.81"
"曹杨新村","20XZ_CY0000","2014-08-22 21:50:00","35.13"
"大场","20XZ_DC0000","2014-08-22 21:50:00","28.58"
"花木","20DN_HM0000","2014-08-23 15:40:00","26.55"
"陆家嘴","20DN_LJZ000","2014-08-23 15:40:00","32.20"
"南码头","20DN_NMT000","2014-08-23 15:40:00","29.28"
"源深体育中心","20DN_YSTYZX","2014-08-23 15:40:00","23.81"
"金桥","20DW_JQ0000","2014-08-23 15:40:00","24.89"
"金杨","20DW_JY0000","2014-08-23 15:40:00","27.13"
"外高桥","20DW_WGQ000","2014-08-23 15:40:00","31.83"
"北蔡","20DZ_BC0000","2014-08-23 15:40:00","22.80"
"上钢新村","20DZ_SGXC00","2014-08-23 15:40:00","25.57"
"三林","20DZ_SL0000","2014-08-23 15:40:00","31.96"
"张江","20DZ_ZJ0000","2014-08-23 15:40:00","18.07"
"周家渡","20DZ_ZJD000","2014-08-23 15:40:00","32.76"
"城隍庙","20XN_CHM000","2014-08-23 15:40:00","33.67"
"曹家渡","20XN_CJD000","2014-08-23 15:40:00","40.56"
"大柏树","20XN_DBS000","2014-08-23 15:40:00","40.42"
"第九人民医院","20XN_DJRMYY","2014-08-23 15:40:00","30.46"
"打浦桥","20XN_DPQ000","2014-08-23 15:40:00","33.57"
"虹口足球场","20XN_HKZQC0","2014-08-23 15:40:00","40.04"
"静安寺","20XN_JAS000","2014-08-23 15:40:00","46.31"
"老北站","20XN_LBZ000","2014-08-23 15:40:00","30.60"
"梅陇镇","20XN_MLZ000","2014-08-23 15:40:00","42.26"
"南京路商圈","20XN_NJLSQ0","2014-08-23 15:40:00","38.73"
"瑞虹新城","20XN_RHXC00","2014-08-23 15:40:00","35.59"
"花木","20DN_HM0000","2014-08-16 23:20:00","22.09"
"陆家嘴","20DN_LJZ000","2014-08-16 23:20:00","25.03"
"南码头","20DN_NMT000","2014-08-16 23:20:00","26.52"
"源深体育中心","20DN_YSTYZX","2014-08-16 23:20:00","26.89"
"金桥","20DW_JQ0000","2014-08-16 23:20:00","24.95"
"金杨","20DW_JY0000","2014-08-16 23:20:00","27.62"
"外高桥","20DW_WGQ000","2014-08-16 23:20:00","26.99"
"北蔡","20DZ_BC0000","2014-08-16 23:20:00","21.62"
"上钢新村","20DZ_SGXC00","2014-08-16 23:20:00","23.01"
"三林","20DZ_SL0000","2014-08-16 23:20:00","25.89"
"张江","20DZ_ZJ0000","2014-08-16 23:20:00","13.43"
"周家渡","20DZ_ZJD000","2014-08-16 23:20:00","28.62"
"城隍庙","20XN_CHM000","2014-08-16 23:20:00","24.50"
"曹家渡","20XN_CJD000","2014-08-16 23:20:00","30.17"
"大柏树","20XN_DBS000","2014-08-16 23:20:00","25.85"
"第九人民医院","20XN_DJRMYY","2014-08-16 23:20:00","22.05"
"打浦桥","20XN_DPQ000","2014-08-16 23:20:00","25.99"
"虹口足球场","20XN_HKZQC0","2014-08-16 23:20:00","27.02"
"静安寺","20XN_JAS000","2014-08-16 23:20:00","35.35"
"老北站","20XN_LBZ000","2014-08-16 23:20:00","27.09"
"梅陇镇","20XN_MLZ000","2014-08-16 23:20:00","36.99"
"南京路商圈","20XN_NJLSQ0","2014-08-16 23:20:00","35.54"
"瑞虹新城","20XN_RHXC00","2014-08-16 23:20:00","26.60"
"瑞金医院","20XN_RJYY00","2014-08-16 23:20:00","38.72"
"人民广场","20XN_RMGC00","2014-08-16 23:20:00","34.17"
"四川北路商圈","20XN_SCBLSQ","2014-08-16 23:20:00","32.86"
"上海火车站","20XN_SHHCZ0","2014-08-16 23:20:00","25.79"
"上海卷烟厂","20XN_SHJYC0","2014-08-16 23:20:00","26.28"
"上海影城","20XN_SHYC00","2014-08-16 23:20:00","30.43"
"十六铺","20XN_SLP000","2014-08-16 23:20:00","21.16"
"同济大学","20XN_TJDX00","2014-08-16 23:20:00","27.42"
"提蓝桥","20XN_TLQ000","2014-08-16 23:20:00","25.90"
"五官科医院","20XN_WGKYY0","2014-08-16 23:20:00","39.72"
"徐家汇","20XN_XJH00","2014-08-16 23:20:00","27.14"
"新天地","20XN_XTD000","2014-08-16 23:20:00","33.69"
"中山公园","20XN_ZSGY00","2014-08-16 23:20:00","30.92"
"大木桥","20XN_ZSYY00","2014-08-16 23:20:00","25.58"
"中远两湾城","20XN_ZYLWC0","2014-08-16 23:20:00","28.52"
"北新泾","20XW_BXJ000","2014-08-16 23:20:00","23.67"
"漕河泾","20XW_CHJ000","2014-08-16 23:20:00","26.85"
"共和新村","20XW_GHXC00","2014-08-16 23:20:00","30.34"
"江湾体育场","20XW_JWTYC0","2014-08-16 23:20:00","19.77"
"江湾镇","20XW_JWZC00","2014-08-16 23:20:00","23.28"
"龙柏","20XW_LB0000","2014-08-16 23:20:00","29.15"
"梅陇","20XW_ML0000","2014-08-16 23:20:00","27.00"
"祁连山路","20XW_QLSL00","2014-08-16 23:20:00","20.67"
"上海大学","20XW_SHDX00","2014-08-16 23:20:00","26.29"
"淞南","20XW_SN0000","2014-08-16 23:20:00","32.40"
"新江湾城","20XW_XJWC00","2014-08-16 23:20:00","14.39"
"殷行","20XW_YH0000","2014-08-16 23:20:00","20.29"
"张庙","20XW_ZM0000","2014-08-16 23:20:00","32.23"
"曹杨新村","20XZ_CY0000","2014-08-16 23:20:00","28.72"
"大场","20XZ_DC0000","2014-08-16 23:20:00","24.68"
"大宁","20XZ_DN0000","2014-08-16 23:20:00","20.67"
