"匝道灯编号","时间","状态"
"714853200010601","2015-04-01 0:18:00","opened"
"714853200020601","2015-04-01 0:18:00","opened"
"714955560010601","2015-04-01 0:18:00","opened"
"715144190010601","2015-04-01 0:18:00","opened"
"715144190040601","2015-04-01 0:18:00","opened"
"715343490040601","2015-04-01 0:18:00","opened"
"712906590085901","2015-04-01 0:18:00","unknown"
"712906590165901","2015-04-01 0:18:00","opened"
"713207940015901","2015-04-01 0:18:00","black"
"713207940025901","2015-04-01 0:18:00","black"
"713207940055901","2015-04-01 0:18:00","opened"
"713908680085901","2015-04-01 0:18:00","opened"
"713908680105901","2015-04-01 0:18:00","opened"
"713908680115901","2015-04-01 0:18:00","opened"
"713921490045901","2015-04-01 0:18:00","black"
"714121440175901","2015-04-01 0:18:00","black"
"714121440185901","2015-04-01 0:18:00","black"
"714121440205901","2015-04-01 0:18:00","black"
"714121440225901","2015-04-01 0:18:00","black"
"714121440245901","2015-04-01 0:18:00","black"
"714309750015901","2015-04-01 0:18:00","black"
"714309750035901","2015-04-01 0:18:00","opened"
"714609790025901","2015-04-01 0:18:00","black"
"715110980015901","2015-04-01 0:18:00","unknown"
"715110980025901","2015-04-01 0:18:00","opened"
"715110980065901","2015-04-01 0:18:00","opened"
"715110980095901","2015-04-01 0:18:00","opened"
"715129640085901","2015-04-01 0:18:00","closed"
"716015940175901","2015-04-01 0:18:00","opened"
"716158080025901","2015-04-01 0:18:00","black"
"716212940045901","2015-04-01 0:18:00","opened"
"716219550125901","2015-04-01 0:18:00","opened"
"716258900025901","2015-04-01 0:18:00","black"
"716321230045901","2015-04-01 0:18:00","opened"
"716321230055901","2015-04-01 0:18:00","opened"
"716323820015901","2015-04-01 0:18:00","black"
"716323820025901","2015-04-01 0:18:00","opened"
"716323820035901","2015-04-01 0:18:00","black"
"716457420015901","2015-04-01 0:18:00","black"
"716731030015901","2015-04-01 0:18:00","black"
"716854810015901","2015-04-01 0:18:00","opened"
"716914750025901","2015-04-01 0:18:00","unknown"
"716914750035901","2015-04-01 0:18:00","unknown"
"716936100025901","2015-04-01 0:18:00","black"
"716937590015901","2015-04-01 0:18:00","black"
"717052030015901","2015-04-01 0:18:00","opened"
"717052030025901","2015-04-01 0:18:00","opened"
"717115920015901","2015-04-01 0:18:00","black"
"717115920025901","2015-04-01 0:18:00","black"
"717141190025901","2015-04-01 0:18:00","unknown"
"717148990015901","2015-04-01 0:18:00","black"
"717150070015901","2015-04-01 0:18:00","unknown"
"717416930035901","2015-04-01 0:18:00","black"
"717817460015901","2015-04-01 0:18:00","opened"
"718018740015901","2015-04-01 0:18:00","unknown"
"718226790035901","2015-04-01 0:18:00","opened"
"718519210025901","2015-04-01 0:18:00","opened"
"610014310490601","2015-04-01 0:20:00","opened"
"610014310500601","2015-04-01 0:20:00","opened"
"710014310050601","2015-04-01 0:20:00","opened"
"710014310100601","2015-04-01 0:20:00","opened"
"710014310170601","2015-04-01 0:20:00","opened"
"710014310190601","2015-04-01 0:20:00","opened"
"710014310260601","2015-04-01 0:20:00","opened"
"710416330080601","2015-04-01 0:20:00","unknown"
"710416330180601","2015-04-01 0:20:00","unknown"
"710416330220601","2015-04-01 0:20:00","unknown"
"710804060050601","2015-04-01 0:20:00","opened"
"710804060050602","2015-04-01 0:20:00","opened"
"710818240110601","2015-04-01 0:20:00","opened"
"711006650020601","2015-04-01 0:20:00","opened"
"711307800010601","2015-04-01 0:20:00","opened"
"711309270010601","2015-04-01 0:20:00","black"
"711311370010601","2015-04-01 0:20:00","black"
"711313540010601","2015-04-01 0:20:00","black"
"711315550020601","2015-04-01 0:20:00","black"
"711317770010601","2015-04-01 0:20:00","opened"
"711320750010601","2015-04-01 0:20:00","opened"
"711320750020601","2015-04-01 0:20:00","opened"
"711323450010601","2015-04-01 0:20:00","black"
"711510510020601","2015-04-01 0:20:00","opened"
"711529900010601","2015-04-01 0:20:00","opened"
"711610290050601","2015-04-01 0:20:00","opened"
"711621260010601","2015-04-01 0:20:00","opened"
"711914930010601","2015-04-01 0:20:00","opened"
"711914930020601","2015-04-01 0:20:00","opened"
"711921300030601","2015-04-01 0:20:00","opened"
"711922240010601","2015-04-01 0:20:00","black"
"711924820050601","2015-04-01 0:20:00","opened"
"712017480060601","2015-04-01 0:20:00","black"
"712023440060601","2015-04-01 0:20:00","opened"
"712035750010601","2015-04-01 0:20:00","opened"
"712035750020601","2015-04-01 0:20:00","opened"
"712128460010601","2015-04-01 0:20:00","black"
"712128460020601","2015-04-01 0:20:00","opened"
"712216090010601","2015-04-01 0:20:00","opened"
"712229490020601","2015-04-01 0:20:00","black"
"712238700020601","2015-04-01 0:20:00","opened"
"712324770020601","2015-04-01 0:20:00","opened"
"712324770030601","2015-04-01 0:20:00","opened"
"712417080010601","2015-04-01 0:20:00","opened"
"712431300020601","2015-04-01 0:20:00","opened"
"712719140020601","2015-04-01 0:20:00","opened"
"712741110060601","2015-04-01 0:20:00","opened"
"712826780010601","2015-04-01 0:20:00","opened"
"712933090030601","2015-04-01 0:20:00","black"
"713027700020601","2015-04-01 0:20:00","opened"
"713027700040601","2015-04-01 0:20:00","opened"
"713041050020601","2015-04-01 0:20:00","black"
"713123160020601","2015-04-01 0:20:00","opened"
"713123160030601","2015-04-01 0:20:00","opened"
"713126850060601","2015-04-01 0:20:00","opened"
"713127890060601","2015-04-01 0:20:00","opened"
"713134260010601","2015-04-01 0:20:00","opened"
"713229070020601","2015-04-01 0:20:00","opened"
"713335590050601","2015-04-01 0:20:00","opened"
"713338830010601","2015-04-01 0:20:00","black"
"713428100010601","2015-04-01 0:20:00","black"
"713441310040601","2015-04-01 0:20:00","black"
"713443860060601","2015-04-01 0:20:00","black"
"713443860080601","2015-04-01 0:20:00","black"
"713528670010601","2015-04-01 0:20:00","black"
"713542750010601","2015-04-01 0:20:00","black"
"713546680020601","2015-04-01 0:20:00","black"
"713742830020601","2015-04-01 0:20:00","opened"
"713838680010601","2015-04-01 0:20:00","opened"
"714040030030601","2015-04-01 0:20:00","opened"
"714040660040601","2015-04-01 0:20:00","opened"
"714141280010601","2015-04-01 0:20:00","opened"
"714245700010601","2015-04-01 0:20:00","opened"
"714245700020601","2015-04-01 0:20:00","opened"
"714246980010601","2015-04-01 0:20:00","opened"
"714550660010601","2015-04-01 0:20:00","opened"
"714643770020601","2015-04-01 0:20:00","black"
"714739560010601","2015-04-01 0:20:00","opened"
"714740340010601","2015-04-01 0:20:00","opened"
"714740340020601","2015-04-01 0:20:00","opened"
"714838020010601","2015-04-01 0:20:00","opened"
"714853200010601","2015-04-01 0:20:00","opened"
"714853200020601","2015-04-01 0:20:00","opened"
"714955560010601","2015-04-01 0:20:00","opened"
"715144190010601","2015-04-01 0:20:00","opened"
"715144190040601","2015-04-01 0:20:00","opened"
"715343490040601","2015-04-01 0:20:00","opened"
"712906590085901","2015-04-01 0:20:00","unknown"
"712906590165901","2015-04-01 0:20:00","opened"
"713207940015901","2015-04-01 0:20:00","black"
"713207940025901","2015-04-01 0:20:00","black"
"713207940055901","2015-04-01 0:20:00","opened"
"713908680085901","2015-04-01 0:20:00","opened"
"713908680105901","2015-04-01 0:20:00","opened"
"713908680115901","2015-04-01 0:20:00","opened"
"713921490045901","2015-04-01 0:20:00","black"
"714121440175901","2015-04-01 0:20:00","black"
"714121440185901","2015-04-01 0:20:00","black"
"714121440205901","2015-04-01 0:20:00","black"
"714121440225901","2015-04-01 0:20:00","black"
"714121440245901","2015-04-01 0:20:00","black"
"714309750015901","2015-04-01 0:20:00","black"
"714309750035901","2015-04-01 0:20:00","opened"
"714609790025901","2015-04-01 0:20:00","black"
"715110980015901","2015-04-01 0:20:00","unknown"
"715110980025901","2015-04-01 0:20:00","opened"
"715110980065901","2015-04-01 0:20:00","opened"
"715110980095901","2015-04-01 0:20:00","opened"
"715129640085901","2015-04-01 0:20:00","closed"
"716015940175901","2015-04-01 0:20:00","opened"
"716158080025901","2015-04-01 0:20:00","black"
"716212940045901","2015-04-01 0:20:00","opened"
"716219550125901","2015-04-01 0:20:00","opened"
"716258900025901","2015-04-01 0:20:00","black"
"716321230045901","2015-04-01 0:20:00","opened"
"716321230055901","2015-04-01 0:20:00","opened"
"716323820015901","2015-04-01 0:20:00","black"
"716323820025901","2015-04-01 0:20:00","opened"
"716323820035901","2015-04-01 0:20:00","black"
"716457420015901","2015-04-01 0:20:00","black"
"716731030015901","2015-04-01 0:20:00","black"
"716854810015901","2015-04-01 0:20:00","opened"
"716914750025901","2015-04-01 0:20:00","unknown"
"716914750035901","2015-04-01 0:20:00","unknown"
"716936100025901","2015-04-01 0:20:00","black"
"716937590015901","2015-04-01 0:20:00","black"
"717052030015901","2015-04-01 0:20:00","opened"
"717052030025901","2015-04-01 0:20:00","opened"
"717115920015901","2015-04-01 0:20:00","black"
"717115920025901","2015-04-01 0:20:00","black"
"717141190025901","2015-04-01 0:20:00","unknown"
"717148990015901","2015-04-01 0:20:00","black"
"717150070015901","2015-04-01 0:20:00","unknown"
"610014310490601","2015-04-01 0:02:00","opened"
"610014310500601","2015-04-01 0:02:00","opened"
"710014310050601","2015-04-01 0:02:00","opened"
"710014310100601","2015-04-01 0:02:00","opened"
"710014310170601","2015-04-01 0:02:00","opened"
"710014310190601","2015-04-01 0:02:00","opened"
"710014310260601","2015-04-01 0:02:00","opened"
"710416330080601","2015-04-01 0:02:00","unknown"
"710416330180601","2015-04-01 0:02:00","unknown"
"710416330220601","2015-04-01 0:02:00","unknown"
"710804060050601","2015-04-01 0:02:00","opened"
"710804060050602","2015-04-01 0:02:00","opened"
"710818240110601","2015-04-01 0:02:00","opened"
"711006650020601","2015-04-01 0:02:00","opened"
"711307800010601","2015-04-01 0:02:00","black"
"711309270010601","2015-04-01 0:02:00","opened"
"711311370010601","2015-04-01 0:02:00","black"
"711313540010601","2015-04-01 0:02:00","opened"
"711315550020601","2015-04-01 0:02:00","opened"
"711317770010601","2015-04-01 0:02:00","opened"
"711320750010601","2015-04-01 0:02:00","opened"
"711320750020601","2015-04-01 0:02:00","opened"
"711323450010601","2015-04-01 0:02:00","opened"
"711510510020601","2015-04-01 0:02:00","opened"
"711529900010601","2015-04-01 0:02:00","opened"
"711610290050601","2015-04-01 0:02:00","black"
"711621260010601","2015-04-01 0:02:00","opened"
"711914930010601","2015-04-01 0:02:00","opened"
"711914930020601","2015-04-01 0:02:00","opened"
"711921300030601","2015-04-01 0:02:00","opened"
"711922240010601","2015-04-01 0:02:00","opened"
"711924820050601","2015-04-01 0:02:00","opened"
"712017480060601","2015-04-01 0:02:00","opened"
"712023440060601","2015-04-01 0:02:00","opened"
"712035750010601","2015-04-01 0:02:00","opened"
"712035750020601","2015-04-01 0:02:00","opened"
"712128460010601","2015-04-01 0:02:00","opened"
"712128460020601","2015-04-01 0:02:00","opened"
"712216090010601","2015-04-01 0:02:00","opened"
"712229490020601","2015-04-01 0:02:00","opened"
"712238700020601","2015-04-01 0:02:00","opened"
"712324770020601","2015-04-01 0:02:00","opened"
"712324770030601","2015-04-01 0:02:00","opened"
"712417080010601","2015-04-01 0:02:00","opened"
"712431300020601","2015-04-01 0:02:00","opened"
"712719140020601","2015-04-01 0:02:00","opened"
"712741110060601","2015-04-01 0:02:00","opened"
"712826780010601","2015-04-01 0:02:00","opened"
"712933090030601","2015-04-01 0:02:00","opened"
"713027700020601","2015-04-01 0:02:00","opened"
"713027700040601","2015-04-01 0:02:00","opened"
"713041050020601","2015-04-01 0:02:00","black"
"713123160020601","2015-04-01 0:02:00","opened"
"713123160030601","2015-04-01 0:02:00","opened"
"713126850060601","2015-04-01 0:02:00","opened"
"713127890060601","2015-04-01 0:02:00","opened"
"713134260010601","2015-04-01 0:02:00","opened"
"713229070020601","2015-04-01 0:02:00","opened"
"713335590050601","2015-04-01 0:02:00","opened"
"713338830010601","2015-04-01 0:02:00","black"
"713428100010601","2015-04-01 0:02:00","opened"
"713441310040601","2015-04-01 0:02:00","black"
"713443860060601","2015-04-01 0:02:00","black"
"713443860080601","2015-04-01 0:02:00","black"
"713528670010601","2015-04-01 0:02:00","opened"
"713542750010601","2015-04-01 0:02:00","black"
"713546680020601","2015-04-01 0:02:00","opened"
"713742830020601","2015-04-01 0:02:00","opened"
"713838680010601","2015-04-01 0:02:00","opened"
"714040030030601","2015-04-01 0:02:00","opened"
"714040660040601","2015-04-01 0:02:00","opened"
"714141280010601","2015-04-01 0:02:00","opened"
"714245700010601","2015-04-01 0:02:00","opened"
"714245700020601","2015-04-01 0:02:00","opened"
"714246980010601","2015-04-01 0:02:00","opened"
"714550660010601","2015-04-01 0:02:00","opened"
"714643770020601","2015-04-01 0:02:00","black"
"714739560010601","2015-04-01 0:02:00","opened"
"714740340010601","2015-04-01 0:02:00","opened"
"714740340020601","2015-04-01 0:02:00","opened"
"714838020010601","2015-04-01 0:02:00","opened"
"714853200010601","2015-04-01 0:02:00","opened"
"714853200020601","2015-04-01 0:02:00","opened"
"714955560010601","2015-04-01 0:02:00","opened"
"715144190010601","2015-04-01 0:02:00","opened"
"715144190040601","2015-04-01 0:02:00","opened"
"715343490040601","2015-04-01 0:02:00","opened"
"712906590085901","2015-04-01 0:02:00","unknown"
"712906590165901","2015-04-01 0:02:00","opened"
"713207940015901","2015-04-01 0:02:00","black"
"713207940025901","2015-04-01 0:02:00","black"
"713207940055901","2015-04-01 0:02:00","opened"
"713908680085901","2015-04-01 0:02:00","opened"
"713908680105901","2015-04-01 0:02:00","opened"
"713908680115901","2015-04-01 0:02:00","opened"
"713921490045901","2015-04-01 0:02:00","black"
"714121440175901","2015-04-01 0:02:00","black"
"714121440185901","2015-04-01 0:02:00","black"
"714121440205901","2015-04-01 0:02:00","black"
"714121440225901","2015-04-01 0:02:00","black"
"714121440245901","2015-04-01 0:02:00","black"
"714309750015901","2015-04-01 0:02:00","black"
"714309750035901","2015-04-01 0:02:00","opened"
"714609790025901","2015-04-01 0:02:00","black"
"715110980015901","2015-04-01 0:02:00","unknown"
"715110980025901","2015-04-01 0:02:00","opened"
"715110980065901","2015-04-01 0:02:00","opened"
"715110980095901","2015-04-01 0:02:00","opened"
"715129640085901","2015-04-01 0:02:00","closed"
"716015940175901","2015-04-01 0:02:00","opened"
"716158080025901","2015-04-01 0:02:00","black"
"716212940045901","2015-04-01 0:02:00","opened"
"716219550125901","2015-04-01 0:02:00","opened"
"716258900025901","2015-04-01 0:02:00","black"
"716321230045901","2015-04-01 0:02:00","opened"
"716321230055901","2015-04-01 0:02:00","opened"
"716323820015901","2015-04-01 0:02:00","black"
"716323820025901","2015-04-01 0:02:00","opened"
"716323820035901","2015-04-01 0:02:00","black"
"716457420015901","2015-04-01 0:02:00","black"
"716731030015901","2015-04-01 0:02:00","black"
"716854810015901","2015-04-01 0:02:00","opened"
"716914750025901","2015-04-01 0:02:00","unknown"
"610014310490601","2015-04-01 0:08:00","opened"
"610014310500601","2015-04-01 0:08:00","opened"
"710014310050601","2015-04-01 0:08:00","opened"
"710014310100601","2015-04-01 0:08:00","opened"
"710014310170601","2015-04-01 0:08:00","opened"
"710014310190601","2015-04-01 0:08:00","opened"
"710014310260601","2015-04-01 0:08:00","opened"
"710416330080601","2015-04-01 0:08:00","unknown"
"710416330180601","2015-04-01 0:08:00","unknown"
"710416330220601","2015-04-01 0:08:00","unknown"
"710804060050601","2015-04-01 0:08:00","opened"
"710804060050602","2015-04-01 0:08:00","opened"
"710818240110601","2015-04-01 0:08:00","opened"
"711006650020601","2015-04-01 0:08:00","opened"
"711307800010601","2015-04-01 0:08:00","opened"
"711309270010601","2015-04-01 0:08:00","black"
"711311370010601","2015-04-01 0:08:00","black"
"711313540010601","2015-04-01 0:08:00","black"
"711315550020601","2015-04-01 0:08:00","black"
"711317770010601","2015-04-01 0:08:00","opened"
"711320750010601","2015-04-01 0:08:00","opened"
"711320750020601","2015-04-01 0:08:00","opened"
"711323450010601","2015-04-01 0:08:00","black"
"711510510020601","2015-04-01 0:08:00","opened"
"711529900010601","2015-04-01 0:08:00","opened"
"711610290050601","2015-04-01 0:08:00","opened"
"711621260010601","2015-04-01 0:08:00","opened"
"711914930010601","2015-04-01 0:08:00","opened"
"711914930020601","2015-04-01 0:08:00","opened"
"711921300030601","2015-04-01 0:08:00","opened"
"711922240010601","2015-04-01 0:08:00","black"
"711924820050601","2015-04-01 0:08:00","opened"
"712017480060601","2015-04-01 0:08:00","black"
"712023440060601","2015-04-01 0:08:00","opened"
"712035750010601","2015-04-01 0:08:00","opened"
"712035750020601","2015-04-01 0:08:00","opened"
"712128460010601","2015-04-01 0:08:00","black"
"712128460020601","2015-04-01 0:08:00","opened"
"712216090010601","2015-04-01 0:08:00","opened"
"712229490020601","2015-04-01 0:08:00","black"
"712238700020601","2015-04-01 0:08:00","opened"
"712324770020601","2015-04-01 0:08:00","opened"
"712324770030601","2015-04-01 0:08:00","opened"
"712417080010601","2015-04-01 0:08:00","opened"
"712431300020601","2015-04-01 0:08:00","opened"
"712719140020601","2015-04-01 0:08:00","opened"
"712741110060601","2015-04-01 0:08:00","opened"
"712826780010601","2015-04-01 0:08:00","opened"
"712933090030601","2015-04-01 0:08:00","black"
"713027700020601","2015-04-01 0:08:00","opened"
"713027700040601","2015-04-01 0:08:00","opened"
"713041050020601","2015-04-01 0:08:00","black"
"713123160020601","2015-04-01 0:08:00","opened"
"713123160030601","2015-04-01 0:08:00","opened"
"713126850060601","2015-04-01 0:08:00","opened"
"713127890060601","2015-04-01 0:08:00","opened"
"713134260010601","2015-04-01 0:08:00","opened"
"713229070020601","2015-04-01 0:08:00","opened"
"713335590050601","2015-04-01 0:08:00","opened"
"713338830010601","2015-04-01 0:08:00","black"
"713428100010601","2015-04-01 0:08:00","black"
"713441310040601","2015-04-01 0:08:00","black"
"713443860060601","2015-04-01 0:08:00","black"
"713443860080601","2015-04-01 0:08:00","black"
"713528670010601","2015-04-01 0:08:00","black"
"713542750010601","2015-04-01 0:08:00","black"
"713546680020601","2015-04-01 0:08:00","opened"
"713742830020601","2015-04-01 0:08:00","opened"
"713838680010601","2015-04-01 0:08:00","opened"
"714040030030601","2015-04-01 0:08:00","opened"
"714040660040601","2015-04-01 0:08:00","opened"
"714141280010601","2015-04-01 0:08:00","opened"
"714245700010601","2015-04-01 0:08:00","opened"
"714245700020601","2015-04-01 0:08:00","opened"
"714246980010601","2015-04-01 0:08:00","opened"
"714550660010601","2015-04-01 0:08:00","opened"
"714643770020601","2015-04-01 0:08:00","black"
"714739560010601","2015-04-01 0:08:00","opened"
"714740340010601","2015-04-01 0:08:00","opened"
"714740340020601","2015-04-01 0:08:00","opened"
"714838020010601","2015-04-01 0:08:00","opened"
"714853200010601","2015-04-01 0:08:00","opened"
"714853200020601","2015-04-01 0:08:00","opened"
"714955560010601","2015-04-01 0:08:00","opened"
"715144190010601","2015-04-01 0:08:00","opened"
"715144190040601","2015-04-01 0:08:00","opened"
"715343490040601","2015-04-01 0:08:00","opened"
"712906590085901","2015-04-01 0:08:00","unknown"
"712906590165901","2015-04-01 0:08:00","opened"
"713207940015901","2015-04-01 0:08:00","black"
"713207940025901","2015-04-01 0:08:00","black"
"713207940055901","2015-04-01 0:08:00","opened"
"713908680085901","2015-04-01 0:08:00","opened"
"713908680105901","2015-04-01 0:08:00","opened"
"713908680115901","2015-04-01 0:08:00","opened"
"713921490045901","2015-04-01 0:08:00","black"
"714121440175901","2015-04-01 0:08:00","black"
"714121440185901","2015-04-01 0:08:00","black"
"714121440205901","2015-04-01 0:08:00","black"
"714121440225901","2015-04-01 0:08:00","black"
"714121440245901","2015-04-01 0:08:00","black"
"714309750015901","2015-04-01 0:08:00","black"
"714309750035901","2015-04-01 0:08:00","opened"
"714609790025901","2015-04-01 0:08:00","black"
"715110980015901","2015-04-01 0:08:00","unknown"
"715110980025901","2015-04-01 0:08:00","opened"
"715110980065901","2015-04-01 0:08:00","opened"
"715110980095901","2015-04-01 0:08:00","opened"
"715129640085901","2015-04-01 0:08:00","black"
"716015940175901","2015-04-01 0:08:00","opened"
"716158080025901","2015-04-01 0:08:00","black"
"716212940045901","2015-04-01 0:08:00","opened"
"716219550125901","2015-04-01 0:08:00","opened"
"716258900025901","2015-04-01 0:08:00","black"
"716321230045901","2015-04-01 0:08:00","opened"
"716321230055901","2015-04-01 0:08:00","opened"
"716323820015901","2015-04-01 0:08:00","black"
"716323820025901","2015-04-01 0:08:00","opened"
"716323820035901","2015-04-01 0:08:00","black"
"716457420015901","2015-04-01 0:08:00","black"
"716731030015901","2015-04-01 0:08:00","black"
"716854810015901","2015-04-01 0:08:00","opened"
"716914750025901","2015-04-01 0:08:00","unknown"
"716914750035901","2015-04-01 0:02:00","unknown"
"716936100025901","2015-04-01 0:02:00","black"
"716937590015901","2015-04-01 0:02:00","black"
"717052030015901","2015-04-01 0:02:00","opened"
"717052030025901","2015-04-01 0:02:00","opened"
"717115920015901","2015-04-01 0:02:00","black"
"717115920025901","2015-04-01 0:02:00","black"
"717141190025901","2015-04-01 0:02:00","unknown"
"717148990015901","2015-04-01 0:02:00","black"
"717150070015901","2015-04-01 0:02:00","unknown"
"717416930035901","2015-04-01 0:02:00","black"
"717817460015901","2015-04-01 0:02:00","opened"
"718018740015901","2015-04-01 0:02:00","unknown"
"718226790035901","2015-04-01 0:02:00","opened"
"718519210025901","2015-04-01 0:02:00","opened"
"610014310490601","2015-04-01 0:04:00","opened"
"610014310500601","2015-04-01 0:04:00","opened"
"710014310050601","2015-04-01 0:04:00","opened"
"710014310100601","2015-04-01 0:04:00","opened"
"710014310170601","2015-04-01 0:04:00","opened"
"710014310190601","2015-04-01 0:04:00","opened"
"710014310260601","2015-04-01 0:04:00","opened"
"710416330080601","2015-04-01 0:04:00","unknown"
"710416330180601","2015-04-01 0:04:00","unknown"
"710416330220601","2015-04-01 0:04:00","unknown"
"710804060050601","2015-04-01 0:04:00","opened"
"710804060050602","2015-04-01 0:04:00","opened"
"710818240110601","2015-04-01 0:04:00","opened"
"711006650020601","2015-04-01 0:04:00","opened"
