设备号码,线路编码,站点编码,协议编号,进出站状态,方向,车载上报时间
059L0809,10065,7F870000,42,出站,上行,2015-04-01 10:36:34
059L0809,10065,81890001,42,进站,上行,2015-04-01 10:39:06
059L0809,10065,81890001,42,出站,上行,2015-04-01 10:39:54
059L0809,10065,828A0002,42,进站,上行,2015-04-01 10:40:57
059L0809,10065,828A0002,42,出站,上行,2015-04-01 10:41:35
059L0809,10065,828B0002,42,进站,上行,2015-04-01 10:42:20
059L0809,10065,828B0002,42,出站,上行,2015-04-01 10:42:50
059L0809,10065,848B0001,42,进站,上行,2015-04-01 10:44:12
059L0809,10065,848B0001,42,出站,上行,2015-04-01 10:44:38
059L0809,10065,858A0000,42,进站,上行,2015-04-01 10:45:10
059L0809,10065,858A0000,42,出站,上行,2015-04-01 10:45:39
059L0809,10065,868A0005,42,进站,上行,2015-04-01 10:46:36
059L0809,10065,868A0005,42,出站,上行,2015-04-01 10:46:54
059L0809,10065,88890001,42,进站,上行,2015-04-01 10:50:09
059L0809,10065,88890001,42,出站,上行,2015-04-01 10:50:36
059L0809,10065,8A890000,42,进站,上行,2015-04-01 10:52:28
059L0809,10065,8A890000,42,出站,上行,2015-04-01 10:52:52
059L0809,10065,8C890001,42,进站,上行,2015-04-01 10:54:09
059L0809,10065,8C890001,42,出站,上行,2015-04-01 10:54:36
059L0809,10065,8D890001,42,进站,上行,2015-04-01 10:55:48
059L0809,10065,8D890001,42,出站,上行,2015-04-01 10:56:14
059L0809,10065,8E890001,42,进站,上行,2015-04-01 10:56:37
059L0809,10065,8E890001,42,出站,上行,2015-04-01 10:56:57
059L0809,10065,8F890001,42,进站,上行,2015-04-01 10:58:23
059L0809,10065,8F890001,42,出站,上行,2015-04-01 10:58:54
059L0809,10065,908A0000,42,进站,上行,2015-04-01 11:00:55
059L0809,10065,908A0000,42,出站,上行,2015-04-01 11:01:41
059L0809,10065,918A0007,42,进站,上行,2015-04-01 11:02:24
059L0809,10065,918A0007,42,出站,上行,2015-04-01 11:02:57
059L0809,10065,928B0005,42,进站,上行,2015-04-01 11:04:08
059L0809,10065,928B0005,42,出站,上行,2015-04-01 11:04:44
059L0809,10065,928B0000,42,进站,上行,2015-04-01 11:06:16
059L0809,10065,928B0000,42,出站,上行,2015-04-01 11:07:21
059L0809,10065,938B000E,42,进站,上行,2015-04-01 11:08:55
059L0809,10065,938B000E,42,出站,上行,2015-04-01 11:09:34
059L0809,10065,938A0001,42,进站,上行,2015-04-01 11:10:22
059L0809,10065,938A0001,42,出站,上行,2015-04-01 11:10:53
059L0809,10065,948B0001,43,进站,上行,2015-04-01 11:11:41
059L0809,10065,938A0000,42,进站,下行,2015-04-01 11:37:58
059L0809,10065,938A0000,42,出站,下行,2015-04-01 11:38:54
059L0809,10065,938B0010,42,进站,下行,2015-04-01 11:39:39
059L0809,10065,938B0010,42,出站,下行,2015-04-01 11:39:46
059L0809,10065,928B0001,42,进站,下行,2015-04-01 11:41:27
059L0809,10065,928B0001,42,出站,下行,2015-04-01 11:42:22
059L0809,10065,928B0003,42,进站,下行,2015-04-01 11:43:04
059L0809,10065,928B0003,42,出站,下行,2015-04-01 11:43:49
059L0809,10065,918A0006,42,进站,下行,2015-04-01 11:45:01
059L0809,10065,918A0006,42,出站,下行,2015-04-01 11:45:56
059L0809,10065,908A0001,42,进站,下行,2015-04-01 11:46:49
059L0809,10065,908A0001,42,出站,下行,2015-04-01 11:47:35
059L0809,10065,8F890000,42,进站,下行,2015-04-01 11:48:54
059L0809,10065,8F890000,42,出站,下行,2015-04-01 11:49:22
059L0809,10065,8E890000,42,进站,下行,2015-04-01 11:51:06
059L0809,10065,8E890000,42,出站,下行,2015-04-01 11:51:19
059L0809,10065,8D890000,42,进站,下行,2015-04-01 11:52:06
059L0809,10065,8D890000,42,出站,下行,2015-04-01 11:52:38
059L0809,10065,8C890000,42,进站,下行,2015-04-01 11:53:42
059L0809,10065,8C890000,42,出站,下行,2015-04-01 11:54:10
059L0809,10065,8A890001,42,进站,下行,2015-04-01 11:55:31
059L0809,10065,8A890001,42,出站,下行,2015-04-01 11:56:01
059L0809,10065,88890000,42,进站,下行,2015-04-01 11:57:13
059L0809,10065,88890000,42,出站,下行,2015-04-01 11:57:40
059L0809,10065,868A0000,42,进站,下行,2015-04-01 12:00:51
059L0809,10065,868A0000,42,出站,下行,2015-04-01 12:01:30
059L0809,10065,858A0001,42,进站,下行,2015-04-01 12:02:50
059L0809,10065,858A0001,42,出站,下行,2015-04-01 12:03:25
059L0809,10065,848B0000,42,进站,下行,2015-04-01 12:03:58
059L0809,10065,848B0000,42,出站,下行,2015-04-01 12:04:39
059L0809,10065,828A0000,42,进站,下行,2015-04-01 12:06:39
059L0809,10065,828A0000,42,出站,下行,2015-04-01 12:07:52
059L0809,10065,828A0001,42,进站,下行,2015-04-01 12:08:22
059L0809,10065,828A0001,42,出站,下行,2015-04-01 12:08:54
059L0809,10065,8189000E,42,进站,下行,2015-04-01 12:10:32
059L0809,10065,8189000E,42,出站,下行,2015-04-01 12:12:03
059L0809,10065,7E860000,42,进站,下行,2015-04-01 12:14:21
059L0809,10065,7E860000,42,出站,下行,2015-04-01 12:14:55
059L0809,10065,7C840013,42,进站,下行,2015-04-01 12:17:21
059L0809,10065,7C840013,42,出站,下行,2015-04-01 12:17:55
059L0809,10065,7C830010,42,进站,下行,2015-04-01 12:18:30
059L0809,10065,7C830010,42,出站,下行,2015-04-01 12:18:47
059L0809,10065,7C82000B,42,进站,下行,2015-04-01 12:19:32
059L0809,10065,7C82000B,42,出站,下行,2015-04-01 12:20:07
059L0809,10065,7B7F000D,42,进站,下行,2015-04-01 12:22:53
059L0809,10065,7B7F000D,42,出站,下行,2015-04-01 12:23:10
059L0809,10065,7B7E0015,42,进站,下行,2015-04-01 12:24:01
059L0809,10065,7B7E0015,42,出站,下行,2015-04-01 12:24:12
059L0809,10065,7B7E0018,42,进站,下行,2015-04-01 12:25:08
059L0809,10065,7B7E0018,42,出站,下行,2015-04-01 12:25:45
059L0809,10065,7B7C0004,42,进站,下行,2015-04-01 12:28:14
059L0809,10065,7B7C0004,42,出站,下行,2015-04-01 12:28:51
059L0809,10065,7A7C0001,42,进站,下行,2015-04-01 12:29:32
059L0809,10065,7A7C0001,42,出站,下行,2015-04-01 12:30:08
059L0809,10065,797D0001,43,进站,下行,2015-04-01 12:32:31
059L0809,10065,797D0001,43,出站,上行,2015-04-01 12:37:05
059L0809,10065,7A7C0001,42,进站,上行,2015-04-01 12:40:59
059L0809,10065,7B7C0004,42,进站,上行,2015-04-01 12:42:50
059L0809,10065,7B7E0017,42,进站,上行,2015-04-01 12:46:10
059L0809,10065,7B7E0017,42,出站,上行,2015-04-01 12:46:54
059L0809,10065,7B7F000E,42,进站,上行,2015-04-01 12:47:30
059L0809,10065,7B7F000E,42,出站,上行,2015-04-01 12:48:03
059L0809,10065,7B800015,42,进站,上行,2015-04-01 12:49:27
059L0809,10065,7B800015,42,出站,上行,2015-04-01 12:50:15
059L0809,10065,7C82000D,42,进站,上行,2015-04-01 12:52:03
059L0809,10065,7C82000D,42,出站,上行,2015-04-01 12:52:24
059L0809,10065,7C830012,42,进站,上行,2015-04-01 12:53:26
059L0809,10065,7C830012,42,出站,上行,2015-04-01 12:54:09
059L0809,10065,7D84000C,42,进站,上行,2015-04-01 12:55:19
059L0809,10065,7D84000C,42,出站,上行,2015-04-01 12:55:33
059L0809,10065,7F870000,42,进站,上行,2015-04-01 13:00:20
059L0809,10065,7F870000,42,出站,上行,2015-04-01 13:01:13
059L0809,10065,81890001,42,进站,上行,2015-04-01 13:03:52
059L0809,10065,81890001,42,出站,上行,2015-04-01 13:04:34
059L0809,10065,828A0002,42,进站,上行,2015-04-01 13:05:30
059L0809,10065,828A0002,42,出站,上行,2015-04-01 13:06:17
059L0809,10065,828B0002,42,进站,上行,2015-04-01 13:06:57
059L0809,10065,828B0002,42,出站,上行,2015-04-01 13:07:36
059L0809,10065,848B0001,42,进站,上行,2015-04-01 13:09:08
059L0809,10065,848B0001,42,出站,上行,2015-04-01 13:09:41
059L0809,10065,858A0000,42,进站,上行,2015-04-01 13:10:27
059L0809,10065,858A0000,42,出站,上行,2015-04-01 13:11:05
059L0809,10065,868A0005,42,进站,上行,2015-04-01 13:12:15
059L0809,10065,868A0005,42,出站,上行,2015-04-01 13:12:42
059L0809,10065,88890001,42,进站,上行,2015-04-01 13:15:47
059L0809,10065,88890001,42,出站,上行,2015-04-01 13:16:14
059L0809,10065,8A890000,42,进站,上行,2015-04-01 13:18:15
059L0809,10065,8A890000,42,出站,上行,2015-04-01 13:18:44
059L0809,10065,8C890001,42,进站,上行,2015-04-01 13:20:03
059L0809,10065,8C890001,42,出站,上行,2015-04-01 13:20:39
059L0809,10065,8D890001,42,进站,上行,2015-04-01 13:22:10
059L0809,10065,8D890001,42,出站,上行,2015-04-01 13:22:42
059L0809,10065,8E890001,42,进站,上行,2015-04-01 13:23:09
059L0809,10065,8E890001,42,出站,上行,2015-04-01 13:23:36
059L0809,10065,8F890001,42,进站,上行,2015-04-01 13:25:10
059L0809,10065,8F890001,42,出站,上行,2015-04-01 13:25:52
059L0809,10065,908A0000,42,进站,上行,2015-04-01 13:27:05
059L0809,10065,908A0000,42,出站,上行,2015-04-01 13:27:45
059L0809,10065,918A0007,42,进站,上行,2015-04-01 13:28:57
059L0809,10065,918A0007,42,出站,上行,2015-04-01 13:29:27
059L0809,10065,928B0005,42,进站,上行,2015-04-01 13:31:00
059L0809,10065,928B0005,42,出站,上行,2015-04-01 13:31:49
059L0809,10065,928B0000,42,进站,上行,2015-04-01 13:33:40
059L0809,10065,928B0000,42,出站,上行,2015-04-01 13:34:33
059L0809,10065,938B000E,42,进站,上行,2015-04-01 13:35:07
059L0809,10065,938B000E,42,出站,上行,2015-04-01 13:35:44
059L0809,10065,938A0001,42,进站,上行,2015-04-01 13:36:26
059L0809,10065,938A0001,42,出站,上行,2015-04-01 13:37:01
059L0809,10065,948B0001,43,进站,上行,2015-04-01 13:37:39
059L0809,10065,938A0000,42,进站,下行,2015-04-01 13:51:19
059L0809,10065,938A0000,42,出站,下行,2015-04-01 13:52:07
059L0809,10065,918A0006,42,进站,下行,2015-04-01 13:54:54
059L0809,10065,918A0006,42,出站,下行,2015-04-01 13:55:45
059L0809,10065,908A0001,42,进站,下行,2015-04-01 13:56:48
059L0809,10065,908A0001,42,出站,下行,2015-04-01 13:57:02
059L0809,10065,8F890000,42,进站,下行,2015-04-01 13:57:56
059L0809,10065,8F890000,42,出站,下行,2015-04-01 13:58:06
059L0809,10065,8E890000,42,进站,下行,2015-04-01 13:59:37
059L0809,10065,8E890000,42,出站,下行,2015-04-01 13:59:49
059L0809,10065,8D890000,42,进站,下行,2015-04-01 14:00:35
059L0809,10065,8D890000,42,出站,下行,2015-04-01 14:00:49
059L0809,10065,8C890000,42,进站,下行,2015-04-01 14:02:07
059L0809,10065,8C890000,42,出站,下行,2015-04-01 14:02:27
059L0809,10065,8A890001,42,进站,下行,2015-04-01 14:03:55
059L0809,10065,8A890001,42,出站,下行,2015-04-01 14:04:10
059L0809,10065,88890000,42,进站,下行,2015-04-01 14:05:31
059L0809,10065,88890000,42,出站,下行,2015-04-01 14:05:40
059L0809,10065,868A0000,42,进站,下行,2015-04-01 14:08:57
059L0809,10065,868A0000,42,出站,下行,2015-04-01 14:09:10
059L0809,10065,858A0001,42,进站,下行,2015-04-01 14:10:46
059L0809,10065,858A0001,42,出站,下行,2015-04-01 14:11:00
059L0809,10065,848B0000,42,进站,下行,2015-04-01 14:11:29
059L0809,10065,848B0000,42,出站,下行,2015-04-01 14:11:51
059L0809,10065,828A0000,42,进站,下行,2015-04-01 14:12:51
059L0809,10065,828A0000,42,出站,下行,2015-04-01 14:13:32
059L0809,10065,828A0001,42,进站,下行,2015-04-01 14:14:14
059L0809,10065,828A0001,42,出站,下行,2015-04-01 14:14:30
059L0809,10065,8189000E,42,进站,下行,2015-04-01 14:15:50
059L0809,10065,8189000E,42,出站,下行,2015-04-01 14:16:12
059L0809,10065,7E860000,42,进站,下行,2015-04-01 22:16:52
059L0809,10065,7E860000,42,出站,下行,2015-04-01 22:17:08
059L0809,10065,7C840013,42,进站,下行,2015-04-01 22:20:39
059L0809,10065,7C840013,42,出站,下行,2015-04-01 22:20:54
059L0809,10065,7C830010,42,进站,下行,2015-04-01 22:21:32
059L0809,10065,7C830010,42,出站,下行,2015-04-01 22:21:48
059L0809,10065,7C82000B,42,进站,下行,2015-04-01 22:22:16
059L0809,10065,7C82000B,42,出站,下行,2015-04-01 22:22:38
059L0809,10065,7B7F000D,42,进站,下行,2015-04-01 22:24:27
059L0809,10065,7B7F000D,42,出站,下行,2015-04-01 22:24:44
059L0809,10065,7B7E0015,42,进站,下行,2015-04-01 22:25:11
059L0809,10065,7B7E0015,42,出站,下行,2015-04-01 22:25:23
059L0809,10065,7B7E0018,42,进站,下行,2015-04-01 22:26:17
059L0809,10065,7B7E0018,42,出站,下行,2015-04-01 22:26:33
059L0809,10065,7A7C0001,42,进站,下行,2015-04-01 22:44:46
059L0809,10065,7B7E0017,42,进站,下行,2015-04-01 22:48:59
059L0809,10065,7B7E0017,42,出站,下行,2015-04-01 22:49:14
059L0809,10065,7B7F000E,42,进站,下行,2015-04-01 22:49:43
059L0809,10065,7B7F000E,42,出站,下行,2015-04-01 22:50:12
059L0809,10065,7B800015,42,进站,下行,2015-04-01 22:51:13
059L0809,10065,7B800015,42,出站,下行,2015-04-01 22:52:00
059L0809,10065,7C82000D,42,进站,下行,2015-04-01 22:53:46
059L0809,10065,7C82000D,42,出站,下行,2015-04-01 22:54:23
059L0809,10065,7C830012,42,进站,下行,2015-04-01 22:55:11
059L0809,10065,7C830012,42,出站,下行,2015-04-01 22:56:02
059L0809,10065,7D84000C,42,进站,下行,2015-04-01 22:56:33
059L0809,10065,7D84000C,42,出站,下行,2015-04-01 22:57:02
059L0809,10065,7F870000,42,进站,下行,2015-04-01 23:01:15
