时间	PM2.5	PM10	O3	SO2	NO2	CO	AQI	质量评价	首要污染物
2014/7/3 14:00	98	160	160	18	33	1	129	轻度污染	PM2.5
2014/7/3 15:00	90	171	171	16	31	1	119	轻度污染	PM2.5
2014/7/3 16:00	81	173	173	16	31	0.9	108	轻度污染	PM2.5
2014/7/3 17:00	69	158	158	16	35	0.9	93	良	PM2.5
2014/7/3 18:00	64	123	123	15	36	0.8	87	良	PM2.5
2014/7/3 19:00	45	92	92	12	38	0.7	63	良	PM2.5
2014/7/3 20:00	32	86	86	13	39	0.7	46	优	PM2.5
2014/7/3 21:00	30	75	75	12	38	0.8	43	优	PM2.5
2014/7/3 22:00	27	67	67	14	41	0.7	39	优	PM2.5
2014/7/3 23:00	25	68	68	13	38	0.7	36	优	PM2.5
2014/7/4 0:00	22	56	56	14	45	0.7	32	优	PM2.5
2014/7/4 1:00	27	60	60	15	35	0.6	39	优	PM2.5
2014/7/4 2:00	30	69	69	13	26	0.6	43	优	PM2.5
2014/7/4 3:00	29	74	74	11	23	0.6	42	优	PM2.5
2014/7/4 4:00	28	65	65	12	30	0.6	40	优	PM2.5
2014/7/4 5:00	28	70	70	12	29	0.6	40	优	PM2.5
2014/7/4 6:00	25	82	82	12	27	0.6	36	优	PM2.5
2014/7/4 7:00	37	96	96	13	38	0.8	58	良	PM10
2014/7/4 8:00	71	111	111	15	49	1	95	良	PM2.5
2014/7/4 9:00	96	116	116	15	57	1.1	127	轻度污染	PM2.5
2014/7/4 10:00	108	125	125	15	48	1	142	轻度污染	PM2.5
2014/7/4 11:00	101	124	124	14	44	1	133	轻度污染	PM2.5
2014/7/4 12:00	91	131	131	13	37	0.8	120	轻度污染	PM2.5
2014/7/4 13:00	78	125	125	13	37	0.8	104	轻度污染	PM2.5
2014/7/4 14:00	65	105	105	15	42	0.8	88	良	PM2.5
2014/7/4 15:00	49	81	81	17	44	0.7	68	良	PM2.5
2014/7/4 16:00	37	66	66	19	52	0.7	53	良	PM2.5
2014/7/4 17:00	33	72	72	15	52	0.7	48	优	PM2.5
2014/7/4 18:00	34	83	83	13	41	0.7	49	优	PM2.5
2014/7/4 19:00	33	80	80	10	38	0.7	48	优	PM2.5
2014/7/4 20:00	28	90	90	9	27	0.6	40	优	PM2.5
2014/7/4 21:00	21	105	105	9	23	0.6	33	优	O3
2014/7/4 22:00	15	101	101	9	24	0.5	32	优	O3
2014/7/4 23:00	18	102	102	10	24	0.5	32	优	O3
2014/7/5 0:00	23	102	102	9	16	0.5	33	优	PM2.5
2014/7/5 1:00	28	103	103	9	12	0.5	40	优	PM2.5
2014/7/5 2:00	27	107	107	9	10	0.5	39	优	PM2.5
2014/7/5 3:00	25	111	111	9	10	0.5	36	优	PM2.5
2014/7/5 4:00	24	110	110	10	12	0.5	35	优	PM2.5
2014/7/5 5:00	28	103	103	10	12	0.6	42	优	PM10
2014/7/5 6:00	29	96	96	10	14	0.5	46	优	PM10
2014/7/5 7:00	28	87	87	10	20	0.6	51	良	PM10
2014/7/5 8:00	32	75	75	10	24	0.6	55	良	PM10
2014/7/5 9:00	29	62	62	7	27	0.7	55	良	PM10
2014/7/5 10:00	27	53	53	7	30	0.7	55	良	PM10
2014/7/5 11:00	27	48	48	7	29	0.6	55	良	PM10
2014/7/5 12:00	34	54	54	7	23	0.6	54	良	PM10
2014/7/5 13:00	33	62	62	7	21	0.5	53	良	PM10
2014/7/5 14:00	32	66	66	7	19	0.5	46	优	PM2.5
2014/7/5 15:00	29	66	66	8	20	0.5	47	优	PM10
2014/7/5 16:00	27	56	56	7	27	0.5	45	优	PM10
2014/7/5 17:00	28	53	53	7	30	0.5	45	优	PM10
2014/7/5 18:00	27	44	44	8	36	0.6	48	优	PM10
2014/7/5 19:00	29	34	34	8	41	0.6	54	良	PM10
2014/7/5 20:00	33	20	20	7	52	0.7	51	良	PM10
2014/7/5 21:00	38	12	12	8	62	0.9	54	良	PM2.5
2014/7/5 22:00	49	17	17	8	59	0.9	68	良	PM2.5
2014/7/5 23:00	47	19	19	9	51	0.8	65	良	PM2.5
2014/7/6 0:00	40	17	17	9	47	0.8	57	良	PM2.5
2014/7/6 1:00	40	13	13	11	48	0.9	57	良	PM2.5
2014/7/6 2:00	43	22	22	13	38	1	60	良	PM2.5
2014/7/6 3:00	58	32	32	15	31	1.2	79	良	PM2.5
2014/7/6 4:00	71	40	40	13	27	1.2	95	良	PM2.5
2014/7/6 5:00	67	50	50	12	26	1.1	90	良	PM2.5
2014/7/6 6:00	59	54	54	13	27	0.9	80	良	PM2.5
2014/7/6 7:00	54	44	44	13	33	0.9	74	良	PM2.5
2014/7/6 8:00	53	46	46	14	35	0.9	73	良	PM2.5
2014/7/6 9:00	49	61	61	12	31	0.7	68	良	PM2.5
2014/7/6 10:00	44	74	74	11	30	0.7	62	良	PM2.5
2014/7/6 11:00	47	86	86	12	27	0.8	65	良	PM2.5
2014/7/6 12:00	51	102	102	11	25	0.7	70	良	PM2.5
2014/7/6 13:00	58	124	124	11	24	0.8	79	良	PM2.5
2014/7/6 14:00	59	136	136	11	25	0.8	80	良	PM2.5
2014/7/6 15:00	60	136	136	12	27	0.8	82	良	PM2.5
2014/7/6 16:00	62	131	131	13	27	0.7	84	良	PM2.5
2014/7/6 17:00	51	128	128	14	28	0.7	70	良	PM2.5
2014/7/6 18:00	50	124	124	14	30	0.7	69	良	PM2.5
2014/7/6 19:00	54	115	115	14	35	0.7	74	良	PM2.5
2014/7/6 20:00	53	97	97	16	42	0.8	73	良	PM2.5
2014/7/6 21:00	65	72	72	18	54	0.9	88	良	PM2.5
2014/7/6 22:00	60	56	56	19	58	1	82	良	PM2.5
2014/7/6 23:00	71	45	45	21	64	1	95	良	PM2.5
2014/7/7 0:00	73	36	36	23	65	1	98	良	PM2.5
2014/7/7 1:00	88	29	29	22	65	0.9	117	轻度污染	PM2.5
2014/7/7 2:00	84	30	30	25	57	1.1	112	轻度污染	PM2.5
2014/7/7 3:00	76	34	34	28	45	1.2	102	轻度污染	PM2.5
2014/7/7 4:00	69	32	32	28	41	1	93	良	PM2.5
2014/7/7 5:00	64	22	22	25	46	1	87	良	PM2.5
2014/7/7 6:00	56	24	24	24	47	0.8	77	良	PM2.5
2014/7/7 7:00	52	30	30	23	47	0.7	72	良	PM2.5
2014/7/7 8:00	40	35	35	21	50	0.8	57	良	PM2.5
2014/7/7 9:00	42	50	50	17	42	0.8	59	良	PM2.5
2014/7/7 10:00	37	62	62	14	36	0.8	53	良	PM2.5
2014/7/7 11:00	40	75	75	14	39	0.8	57	良	PM2.5
2014/7/7 12:00	47	105	105	14	37	0.7	65	良	PM2.5
2014/7/7 13:00	46	124	124	16	36	0.7	64	良	PM2.5
2014/7/7 14:00	47	129	129	17	33	0.7	65	良	PM2.5
2014/7/7 15:00	41	116	116	17	36	0.7	58	良	PM2.5
2014/7/7 16:00	37	108	108	16	37	0.8	57	良	PM10
2014/7/7 17:00	37	93	93	11	35	0.7	56	良	PM10
2014/7/7 18:00	26	73	73	8	32	0.6	47	优	PM10
2014/7/7 19:00	19	69	69	7	32	0.6	28	优	PM2.5
2014/7/7 20:00	16	63	63	8	32	0.6	23	优	PM2.5
2014/7/7 21:00	18	58	58	9	35	0.5	26	优	PM2.5
2014/7/7 22:00	14	54	54	10	38	0.5	20	优	PM2.5
2014/7/7 23:00	12	57	57	9	32	0.5	18	优	PM2.5
2014/7/8 0:00	13	65	65	7	23	0.4	21	优	O3
2014/7/8 1:00	19	68	68	8	20	0.4	28	优	PM2.5
2014/7/8 2:00	16	72	72	7	15	0.5	23	优	PM2.5
2014/7/8 3:00	17	61	61	7	21	0.5	25	优	PM2.5
2014/7/8 4:00	26	62	62	7	21	0.4	38	优	PM2.5
2014/7/8 5:00	19	66	66	7	18	0.4	28	优	PM2.5
2014/7/8 6:00	14	58	58	7	24	0.5	23	优	PM10
2014/7/8 7:00	22	46	46	10	40	0.6	32	优	PM2.5
2014/7/8 8:00	20	51	51	12	40	0.5	29	优	PM2.5
2014/7/8 9:00	22	59	59	12	36	0.5	36	优	PM10
2014/7/8 10:00	26	68	68	10	32	0.5	38	优	PM2.5
2014/7/8 11:00	25	82	82	9	26	0.5	36	优	PM2.5
2014/7/8 12:00	28	94	94	10	22	0.5	40	优	PM2.5
2014/7/8 13:00	25	109	109	10	17	0.5	36	优	PM2.5
2014/7/8 14:00	26	109	109	10	17	0.5	38	优	PM2.5
2014/7/8 15:00	24	93	93	8	19	0.5	44	优	PM10
2014/7/8 16:00	20	72	72	9	19	0.5	51	良	PM10
2014/7/8 17:00	22	58	58	9	30	0.5	50	优	PM10
2014/7/8 18:00	23	54	54	9	29	0.6	53	良	PM10
2014/7/8 19:00	28	53	53	7	27	0.6	51	良	PM10
2014/7/8 20:00	32	51	51	7	28	0.6	52	良	PM10
2014/7/8 21:00	38	55	55	7	23	0.6	54	良	PM2.5
2014/7/8 22:00	37	61	61	6	19	0.6	53	良	PM2.5
2014/7/8 23:00	33	60	60	6	19	0.6	48	优	PM2.5
2014/7/9 0:00	36	49	49	6	23	0.6	52	良	PM2.5
2014/7/9 1:00	39	44	44	6	20	0.6	55	良	PM2.5
2014/7/9 2:00	30	40	40	6	12	0.5	43	优	PM2.5
2014/7/9 3:00	22	33	33	6	15	0.5	32	优	PM2.5
2014/7/9 4:00	20	30	30	7	14	0.5	29	优	PM2.5
2014/7/9 5:00	18	28	28	7	14	0.5	26	优	PM2.5
2014/7/9 6:00	15	22	22	8	19	0.5	23	优	PM10
2014/7/9 7:00	17	19	19	9	22	0.6	34	优	PM10
2014/7/9 8:00	17	23	23	9	20	0.6	42	优	PM10
2014/7/9 9:00	22	31	31	10	19	0.6	44	优	PM10
2014/7/9 10:00	18	40	40	9	17	0.5	45	优	PM10
2014/7/9 11:00	19	47	47	9	14	0.5	49	优	PM10
2014/7/9 12:00	20	71	71	8	11	0.4	45	优	PM10
2014/7/9 13:00	18	57	57	7	11	0.5	40	优	PM10
2014/7/9 14:00	15	57	57	8	12	0.5	42	优	PM10
2014/7/9 15:00	23	57	57	10	15	0.5	45	优	PM10
2014/7/9 16:00	22	57	57	9	15	0.5	47	优	PM10
2014/7/9 17:00	27	56	56	8	16	0.4	52	良	PM10
2014/7/9 18:00	20	48	48	10	23	0.5	48	优	PM10
2014/7/9 19:00	23	37	37	11	31	0.5	52	良	PM10
2014/7/9 20:00	23	24	24	12	40	0.6	54	良	PM10
2014/7/9 21:00	25	21	21	12	43	0.7	56	良	PM10
2014/7/9 22:00	24	22	22	12	38	0.7	46	优	PM10
2014/7/9 23:00	22	16	16	13	42	0.9	42	优	PM10
2014/7/10 0:00	22	14	14	13	44	1	46	优	PM10
2014/7/10 1:00	26	8	8	17	48	1	51	良	PM10
2014/7/10 2:00	30	7	7	15	47	1.1	52	良	PM10
2014/7/10 3:00	33	8	8	14	45	1	56	良	PM10
2014/7/10 4:00	36	9	9	15	45	1.1	59	良	PM10
2014/7/10 5:00	40	9	9	16	43	1.2	70	良	PM10
2014/7/10 6:00	57	10	10	18	43	1.3	82	良	PM10
2014/7/10 7:00	70	14	14	24	47	1.5	94	良	PM2.5
2014/7/10 8:00	84	23	23	28	52	1.5	112	轻度污染	PM2.5
2014/7/10 9:00	80	41	41	25	50	1.3	107	轻度污染	PM2.5
2014/7/10 10:00	74	53	53	23	54	1.3	99	良	PM2.5
2014/7/10 11:00	79	77	77	26	55	1.1	105	轻度污染	PM2.5
2014/7/10 12:00	90	124	124	24	45	1	119	轻度污染	PM2.5
2014/7/10 13:00	87	168	168	19	36	1	115	轻度污染	PM2.5
2014/7/10 14:00	93	170	170	21	42	1.1	123	轻度污染	PM2.5
2014/7/10 15:00	101	185	185	21	46	1.1	133	轻度污染	PM2.5
2014/7/10 16:00	105	211	211	19	42	1.2	138	轻度污染	PM2.5
2014/7/10 17:00	116	199	199	20	51	1.3	152	中度污染	PM2.5
2014/7/10 18:00	122	184	184	16	54	1.2	160	中度污染	PM2.5
2014/7/10 19:00	141	201	201	14	51	1.2	188	中度污染	PM2.5
2014/7/10 20:00	188	204	204	14	48	1.2	238	重度污染	PM2.5
2014/7/10 21:00	204	139	139	14	62	1.2	254	重度污染	PM2.5
2014/7/10 22:00	188	96	96	16	74	1.1	238	重度污染	PM2.5
2014/7/10 23:00	170	80	80	16	77	1	221	重度污染	PM2.5
2014/7/11 0:00	166	59	59	16	81	1	216	重度污染	PM2.5
2014/7/11 1:00	155	48	48	14	78	0.9	205	重度污染	PM2.5
2014/7/11 2:00	149	50	50	13	49	0.9	199	中度污染	PM2.5
2014/7/11 3:00	142	49	49	13	37	0.9	189	中度污染	PM2.5
2014/7/11 4:00	135	39	39	13	39	0.9	179	中度污染	PM2.5
2014/7/11 5:00	128	27	27	13	44	1	169	中度污染	PM2.5
2014/7/11 6:00	120	21	21	13	50	1	158	中度污染	PM2.5
2014/7/11 7:00	118	21	21	14	59	1.3	155	中度污染	PM2.5
2014/7/11 8:00	128	37	37	18	77	1.5	169	中度污染	PM2.5
2014/7/11 9:00	153	86	86	22	82	1.5	203	重度污染	PM2.5
2014/7/11 10:00	164	157	157	25	61	1.4	214	重度污染	PM2.5
2014/7/11 11:00	154	186	186	25	55	1.3	204	重度污染	PM2.5
2014/7/11 12:00	159	143	143	24	73	1.4	209	重度污染	PM2.5
2014/7/11 13:00	152	73	73	14	63	1.1	202	重度污染	PM2.5
2014/7/11 14:00	110	66	66	9	59	1	144	轻度污染	PM2.5
2014/7/11 15:00	103	99	99	8	56	1	135	轻度污染	PM2.5
2014/7/11 16:00	104	177	177	8	42	1.1	137	轻度污染	PM2.5
2014/7/11 17:00	105	198	198	9	43	1.2	138	轻度污染	PM2.5
2014/7/11 18:00	100	162	162	10	53	1.2	132	轻度污染	PM2.5
2014/7/11 19:00	100	126	126	10	57	1.1	132	轻度污染	PM2.5
2014/7/11 20:00	115	88	88	10	59	1	150	轻度污染	PM2.5
2014/7/11 21:00	96	84	84	9	44	0.8	127	轻度污染	PM2.5
2014/7/11 22:00	47	105	105	7	35	0.8	65	良	PM2.5
2014/7/11 23:00	48	56	56	7	61	1	67	良	PM2.5
2014/7/12 0:00	81	25	25	8	72	1	108	轻度污染	PM2.5
2014/7/12 1:00	96	23	23	10	63	0.9	127	轻度污染	PM2.5
2014/7/12 2:00	95	26	26	9	54	0.9	125	轻度污染	PM2.5
2014/7/12 3:00	86	19	19	9	58	0.9	114	轻度污染	PM2.5
2014/7/12 4:00	88	14	14	11	59	0.9	117	轻度污染	PM2.5
2014/7/12 5:00	92	12	12	11	58	0.9	122	轻度污染	PM2.5
2014/7/12 6:00	100	15	15	11	58	1	132	轻度污染	PM2.5
2014/7/12 7:00	110	17	17	13	63	1.1	144	轻度污染	PM2.5
2014/7/12 8:00	126	33	33	16	58	1.1	166	中度污染	PM2.5
2014/7/12 9:00	131	61	61	14	64	1.1	173	中度污染	PM2.5
2014/7/12 10:00	132	95	95	13	64	1.2	175	中度污染	PM2.5
2014/7/12 11:00	135	134	134	13	59	1.1	179	中度污染	PM2.5
2014/7/12 12:00	128	200	200	12	38	1	169	中度污染	PM2.5
2014/7/12 13:00	108	231	231	13	28	0.9	142	轻度污染	PM2.5
2014/7/12 14:00	95	204	204	12	31	0.9	125	轻度污染	PM2.5
2014/7/12 15:00	98	140	140	13	40	1.1	129	轻度污染	PM2.5
2014/7/12 16:00	60	105	105	11	30	0.9	82	良	PM2.5
2014/7/12 17:00	31	100	100	10	36	0.9	45	优	PM2.5
2014/7/12 18:00	30	82	82	9	51	1	43	优	PM2.5
2014/7/12 19:00	36	76	76	8	55	1	52	良	PM2.5
2014/7/12 20:00	36	84	84	8	41	0.9	52	良	PM2.5
2014/7/12 21:00	34	79	79	7	36	0.8	49	优	PM2.5
2014/7/12 22:00	23	71	71	7	32	0.8	33	优	PM2.5
2014/7/12 23:00	12	59	59	6	38	0.7	19	优	O3
2014/7/13 0:00	13	51	51	6	41	0.7	21	优	NO2
2014/7/13 1:00	16	55	55	7	33	0.8	23	优	PM2.5
2014/7/13 2:00	19	54	54	8	28	0.7	28	优	PM2.5
2014/7/13 3:00	23	55	55	9	23	0.7	33	优	PM2.5
2014/7/13 4:00	30	50	50	11	23	0.7	43	优	PM2.5
2014/7/13 5:00	35	49	49	10	20	0.9	50	优	PM2.5
2014/7/13 6:00	51	59	59	10	19	1	70	良	PM2.5
2014/7/13 7:00	48	60	60	10	28	1.1	67	良	PM2.5
2014/7/13 8:00	57	66	66	11	32	1.3	78	良	PM2.5
2014/7/13 9:00	61	69	69	12	40	1.1	83	良	PM2.5
2014/7/13 10:00	52	76	76	11	41	1	72	良	PM2.5
2014/7/13 11:00	43	77	77	9	44	1	60	良	PM2.5
2014/7/13 12:00	36	83	83	10	43	0.9	52	良	PM2.5
2014/7/13 13:00	37	92	92	10	42	0.9	53	良	PM2.5
2014/7/13 14:00	37	103	103	10	34	0.8	53	良	PM2.5
2014/7/13 15:00	35	98	98	12	36	0.7	50	优	PM2.5
2014/7/13 16:00	32	100	100	12	37	0.7	46	优	PM2.5
2014/7/13 17:00	32	93	93	10	40	0.7	46	优	PM2.5
2014/7/13 18:00	33	83	83	9	45	0.7	51	良	PM10
2014/7/13 19:00	35	81	81	8	40	0.7	50	优	PM2.5
2014/7/13 20:00	40	69	69	8	45	0.7	57	良	PM2.5
2014/7/13 21:00	54	71	71	8	40	0.8	74	良	PM2.5
2014/7/13 22:00	65	65	65	9	44	0.9	88	良	PM2.5
2014/7/13 23:00	76	68	68	10	42	1	102	轻度污染	PM2.5
2014/7/14 0:00	84	64	64	9	42	1	112	轻度污染	PM2.5
2014/7/14 1:00	90	64	64	10	38	1	119	轻度污染	PM2.5
2014/7/14 2:00	91	64	64	10	36	1	120	轻度污染	PM2.5
2014/7/14 3:00	92	59	59	10	33	1	122	轻度污染	PM2.5
2014/7/14 4:00	96	55	55	11	32	1	127	轻度污染	PM2.5
2014/7/14 5:00	94	47	47	11	32	1	124	轻度污染	PM2.5
2014/7/14 6:00	91	42	42	11	36	1	120	轻度污染	PM2.5
2014/7/14 7:00	97	49	49	12	41	1	128	轻度污染	PM2.5
2014/7/14 8:00	102	65	65	14	45	1.1	134	轻度污染	PM2.5
2014/7/14 9:00	96	95	95	14	40	1	127	轻度污染	PM2.5
2014/7/14 10:00	85	124	124	13	39	1	113	轻度污染	PM2.5
2014/7/14 11:00	89	152	152	12	41	1	118	轻度污染	PM2.5
2014/7/14 12:00	89	196	196	11	33	0.9	118	轻度污染	PM2.5
2014/7/14 13:00	76	204	204	11	25	0.8	102	轻度污染	PM2.5
2014/7/14 14:00	61	186	186	9	21	0.7	83	良	PM2.5
2014/7/14 15:00	53	177	177	8	21	0.7	73	良	PM2.5
2014/7/14 16:00	49	177	177	9	23	0.7	72	良	O3
2014/7/14 17:00	49	174	174	9	27	0.7	68	良	PM2.5
2014/7/14 18:00	47	154	154	8	32	0.7	65	良	PM2.5
2014/7/14 19:00	44	123	123	8	40	0.8	62	良	PM2.5
2014/7/14 20:00	45	104	104	9	38	0.8	63	良	PM2.5
2014/7/14 21:00	50	98	98	8	31	0.7	69	良	PM2.5
2014/7/14 22:00	45	91	91	9	32	0.7	63	良	PM2.5
2014/7/14 23:00	44	80	80	11	32	0.6	62	良	PM2.5
2014/7/15 0:00	39	83	83	10	23	0.5	55	良	PM2.5
2014/7/15 1:00	31	80	80	10	20	0.5	45	优	PM2.5
2014/7/15 2:00	26	74	74	9	21	0.6	38	优	PM2.5
2014/7/15 3:00	28	68	68	9	25	0.6	40	优	PM2.5
2014/7/15 4:00	34	61	61	9	27	0.6	49	优	PM2.5
2014/7/15 5:00	38	58	58	8	26	0.6	54	良	PM2.5
2014/7/15 6:00	39	56	56	9	28	0.7	55	良	PM2.5
2014/7/15 7:00	42	54	54	8	35	0.7	59	良	PM2.5
2014/7/15 8:00	38	47	47	7	51	0.8	54	良	PM2.5
2014/7/15 9:00	29	94	94	7	39	0.7	42	优	PM2.5
2014/7/15 10:00	35	98	98	8	44	0.8	50	优	PM2.5
2014/7/15 11:00	34	106	106	9	42	0.6	49	优	PM2.5
2014/7/15 12:00	32	99	99	10	50	0.7	49	优	PM10
2014/7/15 13:00	39	93	93	8	49	0.7	55	良	PM2.5
2014/7/15 14:00	31	100	100	7	43	0.7	45	优	PM2.5
2014/7/15 15:00	30	95	95	6	45	0.7	43	优	PM2.5
2014/7/15 16:00	25	92	92	7	47	0.7	36	优	PM2.5
2014/7/15 17:00	25	74	74	7	61	0.8	36	优	PM2.5
2014/7/15 18:00	29	70	70	8	62	0.8	42	优	PM2.5
2014/7/15 19:00	36	62	62	8	69	0.9	52	良	PM2.5
2014/7/15 20:00	44	48	48	9	76	1	62	良	PM2.5
2014/7/15 21:00	60	32	32	9	82	1.1	82	良	PM2.5
2014/7/15 22:00	69	26	26	10	80	1.1	93	良	PM2.5
2014/7/15 23:00	78	22	22	10	80	1.1	104	轻度污染	PM2.5
2014/7/16 0:00	83	25	25	10	72	1	110	轻度污染	PM2.5
2014/7/16 1:00	82	32	32	10	57	0.9	109	轻度污染	PM2.5
2014/7/16 2:00	82	41	41	10	47	0.9	109	轻度污染	PM2.5
2014/7/16 3:00	78	38	38	11	44	0.8	104	轻度污染	PM2.5
2014/7/16 4:00	78	39	39	14	39	0.8	104	轻度污染	PM2.5
2014/7/16 5:00	83	29	29	14	41	0.8	110	轻度污染	PM2.5
2014/7/16 6:00	81	26	26	13	42	0.9	108	轻度污染	PM2.5
2014/7/16 7:00	79	25	25	11	52	0.9	105	轻度污染	PM2.5
2014/7/16 8:00	77	25	25	12	58	1	103	轻度污染	PM2.5
2014/7/16 9:00	72	32	32	15	60	1.1	97	良	PM2.5
2014/7/16 10:00	63	48	48	14	54	0.9	85	良	PM2.5
2014/7/16 11:00	49	76	76	14	42	0.8	68	良	PM2.5
2014/7/16 12:00	47	113	113	13	34	0.7	65	良	PM2.5
2014/7/16 13:00	42	136	136	12	30	0.7	59	良	PM2.5
2014/7/16 14:00	39	142	142	12	36	0.7	55	良	PM2.5
2014/7/16 15:00	33	118	118	10	39	0.6	48	优	PM2.5
2014/7/16 16:00	28	99	99	11	37	0.6	40	优	PM2.5
2014/7/16 17:00	29	100	100	13	42	0.6	48	优	PM10
2014/7/16 18:00	36	75	75	12	72	0.8	65	良	PM10
2014/7/16 19:00	46	54	54	13	93	0.9	69	良	PM10
2014/7/16 20:00	56	43	43	14	106	1.1	88	良	PM10
2014/7/16 21:00	73	50	50	13	97	1.1	98	良	PM2.5
2014/7/16 22:00	83	68	68	11	68	1	110	轻度污染	PM2.5
2014/7/16 23:00	88	66	66	10	45	0.7	117	轻度污染	PM2.5
2014/7/17 0:00	65	48	48	8	31	0.5	88	良	PM2.5
2014/7/17 1:00	35	31	31	9	21	0.4	50	优	PM2.5
2014/7/17 2:00	19	22	22	8	19	0.4	28	优	PM2.5
2014/7/17 3:00	14	19	19	9	18	0.4	20	优	PM2.5
2014/7/17 4:00	11	15	15	10	19	0.5	16	优	PM2.5
2014/7/17 5:00	12	12	12	10	21	0.5	18	优	PM2.5
2014/7/17 6:00	16	11	11	10	22	0.5	23	优	PM2.5
2014/7/17 7:00	16	11	11	10	24	0.6	27	优	PM10
2014/7/17 8:00	19	14	14	12	26	0.6	36	优	PM10
